Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,YEAR,IS_BANKRUPT
10330,-15.41,-16.07,,6.27,6.4,6.4,,,,,0.04,0.04,1.04,-10.88,4.12,-371.97,1.19,0.0,,-111.38,1.51,6.34,15.47,0.17,0.33,0.33,3733.87,104.57,649.34,1.19,0.76,3.2,4.2,1.88,76.2,6.16,0.87,0.0,3.82,7.13,3.35,11.43,17.33,0.16,0.25,0.26,1883.93,18.29,207.98,0.99,0.71,2.41,3.41,4.09,70.69,12.71,0.91,0.0,3.85,6.83,16,0
10331,26.95,178.17,5.88,0.83,0.89,0.9,79.44,3.36,54.58,0.4,0.84,5.54,6.61,51.52,84.88,46.37,0.81,0.0,5.36,33.41,11.7,67.88,,0.15,0.28,0.28,123.03,12.18,93.94,0.22,0.83,4.8,5.8,21.6,82.65,26.37,0.29,0.0,2.29,17.99,1.57,9.73,,0.19,0.26,0.54,126.39,6.54,100.99,28.04,0.84,5.19,6.21,12.66,83.6,7.17,0.33,0.0,2.63,34.75,16,0
10332,6.61,12.28,6.7,0.53,1.84,1.84,368.75,212.02,162.95,0.86,0.46,0.86,1.86,20.49,46.17,16.25,3.23,0.0,14.06,52.92,9.86,15.37,6.41,0.19,2.43,2.43,236.54,72.68,80.49,0.47,0.36,0.56,1.56,35.46,35.88,30.07,4.27,0.0,14.19,42.9,8.34,10.84,7.34,0.8,3.57,3.61,320.29,23.17,66.85,2.94,0.23,0.3,1.3,26.68,23.02,43.09,3.45,0.0,12.01,52.28,16,0
10333,18.89,19.31,5.99,29.45,45.97,45.97,115.48,41.04,2.48,,0.02,0.02,1.02,18.89,2.18,868.52,,0.0,0.0,0.0,23.77,25.72,,11.73,13.19,13.19,316.77,34.8,23.73,,0.08,0.08,1.08,23.77,7.58,313.81,,0.0,0.0,0.0,17.49,18.85,,13.08,13.83,13.83,182.76,,13.07,,0.07,0.08,1.08,17.49,7.23,241.88,,0.0,0.0,0.0,16,0
10334,-3.44,-30.62,-4.14,0.04,0.78,0.86,437.65,270.59,365.56,31.01,0.89,7.89,8.89,12.73,88.76,2.6,0.57,0.0,19.45,74.7,-1.24,-12.67,-1.19,0.07,0.69,0.73,347.96,191.12,295.3,12.71,0.9,9.21,10.21,15.63,90.2,6.08,0.43,3.65,11.45,48.31,-4.51,-180.99,-5.73,0.0,0.69,0.72,462.49,273.12,360.16,11.35,0.86,34.68,40.14,9.65,86.39,0.52,0.07,7.64,12.56,56.39,16,0
10335,1.55,6.51,0.63,0.19,1.08,1.11,147.64,92.34,104.38,3.61,0.76,3.19,4.21,59.94,76.23,10.0,1.3,0.0,23.69,82.8,2.46,8.47,,0.21,1.12,1.2,157.59,92.35,102.05,8.35,0.71,2.44,3.45,67.81,70.69,18.64,1.55,0.0,21.05,59.72,10.8,45.76,,0.06,1.21,1.21,143.35,119.57,104.53,0.06,0.76,3.23,4.24,45.3,76.22,19.78,2.36,0.0,10.14,47.2,16,0
10336,11.54,21.33,17.72,0.17,1.42,1.44,559.07,245.34,211.51,5.59,0.46,0.85,1.85,18.48,45.9,30.17,1.3,0.0,10.67,166.26,7.85,17.75,9.93,0.14,1.26,1.27,460.43,187.08,227.97,3.7,55.75,125.97,2.26,10.29,,,,,,,8.12,15.27,5.52,0.55,1.96,2.0,247.66,53.96,60.91,2.42,46.84,88.12,1.88,10.21,,,,,,,16,0
10337,-3.84,-11.96,-3.0,0.81,1.01,1.05,284.25,34.91,176.83,7.82,0.67,2.1,3.12,13.35,67.9,-4.0,1.06,0.01,13.42,113.49,-2.77,-10.22,,0.74,0.94,0.98,468.36,68.53,333.36,11.81,0.73,2.68,3.68,13.04,72.86,-2.43,0.92,0.0,14.59,77.39,7.94,22.62,,0.84,1.05,1.09,261.68,35.2,165.79,6.61,0.65,1.85,2.85,24.64,64.9,13.86,1.19,0.0,8.4,42.16,16,0
10338,0.31,3.33,0.16,0.08,0.63,0.88,190.85,13.11,66.36,32.93,0.91,9.62,10.62,33.03,90.59,7.27,2.81,33.69,17.15,59.53,1.87,15.65,0.5,-0.9,1.66,2.08,97.28,32.65,16.03,18.13,0.88,7.38,8.38,36.82,88.06,7.61,4.7,27.95,9.34,33.8,0.19,2.43,0.18,-0.75,2.57,2.9,352.7,73.07,55.55,38.89,0.92,12.06,13.06,11.8,92.34,3.56,14.14,18.13,11.25,23.79,16,0
10339,3.43,15.76,,1.09,1.09,1.09,42.43,0.09,17.83,,0.78,3.59,4.59,45.43,78.24,19.46,1.06,35.1,3.6,51.09,-4.31,-46.31,,0.11,0.85,0.85,209.59,32.67,43.92,,0.91,9.73,10.73,21.46,90.68,2.36,1.03,18.58,10.92,59.63,-10.29,-18.65,,0.2,0.2,0.46,220.61,0.12,93.77,24.44,0.45,0.81,1.81,-7.69,44.79,9.01,0.71,1.82,1.18,17.01,16,0
