Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,YEAR,IS_BANKRUPT
0,1.4,3.36,6.51,0.03,0.19,0.99,1693.47,60.05,214.55,304.62,0.49,1.18,2.4,18.72,58.38,16.86,0.87,29.01,80.58,288.92,-4.89,-16.27,-23.23,0.0,0.3,0.88,1729.28,159.34,233.38,310.95,0.49,1.65,3.33,9.92,69.95,3.04,0.64,29.68,70.38,199.97,-4.54,-15.09,-15.56,0.01,0.13,0.89,1250.08,37.37,142.26,233.7,0.48,1.59,3.32,11.21,69.89,8.25,0.67,28.46,53.95,165.39,13,1
1,-10.2,-1554.84,-34.94,0.05,0.18,0.48,1246.95,94.55,486.57,219.42,0.8,122.71,152.45,0.39,99.34,-1.08,0.2,22.25,36.29,-1949.14,0.37,33.57,0.73,0.0,0.15,0.52,718.4,60.21,357.63,152.26,0.8,73.01,90.93,13.13,98.9,14.69,0.22,9.47,25.19,113.69,6.72,85.67,10.98,0.12,0.22,0.63,595.84,34.76,319.83,142.6,0.82,10.39,12.74,18.95,92.15,21.25,0.27,4.58,19.96,75.25,13,1
2,-28.39,55.31,-44.27,0.02,0.06,0.58,567.58,27.39,604.53,318.2,1.42,-2.76,-1.95,10.17,151.33,-1.33,-0.55,25.49,60.12,2279.06,-15.29,22.14,-18.08,0.01,0.05,0.58,430.51,18.77,446.57,241.89,1.45,-2.1,-1.45,21.74,169.06,7.13,-0.86,9.15,43.79,-1106.55,7.81,1981.63,10.24,0.06,0.84,1.27,478.61,41.39,305.63,132.87,0.87,219.9,253.76,28.64,99.61,21.41,1.14,2.31,27.31,171.05,13,1
3,-1.58,1.76,,0.06,0.29,0.29,,,,,1.87,-2.08,-1.11,-1.58,189.76,0.14,-0.48,0.0,,0.0,-5.86,4.3,,0.08,0.08,0.08,,,,,2.32,-1.71,-0.73,-5.86,236.26,-1.36,-0.56,0.15,,0.0,-2.37,1.47,,0.0,0.0,0.0,,,,,2.56,-1.6,-0.62,-2.37,260.49,0.27,-0.74,0.25,,,13,1
4,-16.81,44.66,-69.45,0.07,1.23,1.71,1504.12,678.72,417.29,282.01,1.38,-3.66,-2.66,-13.81,137.63,-7.47,1.84,11.1,12.38,-71.32,0.77,-1.69,3.41,0.0,0.31,0.49,1611.08,686.65,2050.5,409.49,1.46,-3.19,-2.19,4.17,145.61,6.73,-1.28,11.29,15.04,-57.43,-40.25,20.68,-45.5,0.13,0.16,0.22,412.57,34.17,1195.72,79.72,2.95,-1.51,-0.51,-34.35,294.65,2.12,-5.65,0.0,6.67,-15.11,13,1
5,-33.71,155.72,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,-33.71,121.65,-27.71,0.46,54.71,,,0.0,0.0,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,0.0,121.65,0.0,0.46,54.71,,,0.0,0.0,,0.01,0.51,0.46,,,,,1.22,-5.62,-4.62,0.0,121.65,0.0,0.46,54.71,,,13,1
6,-4.99,-93.61,-30.95,0.0,0.22,0.58,2260.14,154.53,546.08,266.9,0.78,14.7,18.78,1.51,94.67,5.13,0.63,7.93,40.3,1251.67,-3.4,-148.03,-19.67,0.01,0.22,0.6,2109.44,136.15,487.61,258.14,0.74,32.4,43.49,3.16,97.7,7.07,0.55,8.17,37.91,1214.01,-3.29,-147.66,-17.79,,0.25,0.51,1969.64,194.32,557.24,205.48,0.75,33.54,44.92,2.92,97.77,4.67,0.46,11.61,33.59,288.62,14,1
7,-17.57,-41.53,-23.59,0.29,0.47,0.81,488.55,28.6,157.06,54.87,0.58,1.36,2.36,4.39,57.68,-18.2,0.92,17.78,29.49,144.14,-19.34,-37.91,-27.79,-0.44,0.13,0.44,524.63,62.81,110.48,34.52,0.49,0.96,1.96,0.99,49.0,-26.99,0.87,17.32,29.22,206.89,-15.86,-48.23,-24.31,,0.1,0.36,558.01,19.86,243.05,68.21,0.67,2.04,3.04,8.43,67.12,-18.63,0.62,14.61,37.24,136.27,14,1
8,0.01,0.02,0.09,0.0,0.09,0.67,2352.85,43.94,249.48,281.83,0.43,0.75,1.75,4.47,42.77,32.75,0.92,29.09,28.82,19.88,0.01,0.03,0.1,0.0,0.0,0.82,2513.35,2.61,355.06,485.12,0.52,1.07,2.07,3.37,51.62,23.19,0.95,35.82,23.08,19.39,-4.49,-11.69,-42.35,,0.0,0.44,3429.37,1.93,652.61,453.1,0.62,1.6,2.6,-2.5,61.56,12.48,0.8,41.62,18.76,-43.9,14,1
9,-18.97,16.05,,0.0,0.19,0.19,,,,,2.18,-1.85,-0.85,-18.97,218.14,-4.66,-0.85,51.24,,0.0,-186.9,35.58,,0.0,0.19,0.19,,,,,6.25,-1.19,-0.19,-186.9,625.32,-0.07,-16.41,146.76,,0.0,-12.26,2.07,,,0.17,0.17,,,,,6.93,-1.17,-0.17,-12.26,693.24,-1.46,-18.51,162.31,,,14,1
10,0.79,2.24,1.35,0.0,1.13,1.33,624.96,218.11,158.34,39.3,0.62,1.75,2.84,6.1,64.76,18.11,1.12,16.49,9.12,55.36,-0.93,-3.56,-1.53,0.0,0.78,1.06,600.88,184.07,211.12,69.21,0.59,2.27,3.83,2.85,73.9,12.85,0.78,13.44,6.22,45.58,-234.95,203.59,-293.8,,0.06,0.06,455.18,53.69,854.72,0.0,2.15,-1.87,-0.87,-224.78,215.4,-100.7,-1.02,0.0,12.72,-27.07,14,1
11,-3.13,-4.7,-18.25,0.28,0.52,0.83,2121.33,107.41,90.57,136.53,0.33,0.5,1.5,8.96,33.35,10.29,0.93,26.42,70.48,-1507.69,-3.75,-5.17,-19.25,0.02,0.36,0.99,1872.99,73.2,144.17,141.59,0.27,0.38,1.38,7.86,27.41,3.71,0.97,16.23,59.6,790.66,-29.67,-73.19,-494.87,,0.19,0.19,6071.27,400.79,1769.57,8.59,0.59,1.47,2.47,-22.05,59.46,-29.66,0.64,24.21,127.14,-89.24,14,1
12,0.76,1.87,25.61,1.05,4.97,6.06,12279.23,6386.76,1631.78,1804.1,0.57,1.39,2.45,4.43,59.23,11.22,4.44,15.07,123.52,-40.36,-3.81,-8.61,-56.16,0.99,2.22,2.81,5367.58,1089.93,889.74,538.03,0.51,1.16,2.26,0.43,55.76,5.72,1.49,8.88,62.43,-162.62,-3.74,-9.62,-34.66,0.04,1.93,2.43,3373.43,1497.88,796.45,404.04,56.49,145.28,2.57,2.27,56.49,0.73,1.69,8.56,40.97,-136.16,15,1
13,-5.91,-14.59,-24.22,0.0,0.1,0.48,1494.94,36.56,327.88,153.94,0.44,1.09,2.47,4.76,59.48,2.93,0.65,11.91,43.74,217.75,-7.36,-21.54,-26.91,0.01,0.14,0.48,1330.21,63.34,433.85,164.73,0.52,1.53,2.92,3.41,65.81,5.96,0.59,9.28,39.35,151.45,-12.45,-44.0,-44.75,0.01,0.21,0.64,1308.77,83.38,298.81,175.08,57.8,204.33,3.53,-1.3,57.8,-4.59,0.46,11.13,27.55,237.84,15,1
14,-1.18,-1.71,,22.18,209.13,209.13,,,,,0.31,0.44,1.45,-1.18,30.83,-3.85,1.6,0.0,,0.0,-537.8,119.79,,18.07,18.07,18.07,,,,,5.47,-1.22,-0.22,-537.8,548.95,-98.34,2.51,0.0,,0.0,-10.7,1.51,,11.79,11.79,11.79,,,,,8.07,-1.14,-0.14,-10.7,807.16,-1.33,1.03,0.0,,0.0,15,1
15,-37.16,107.1,-39.37,0.01,0.19,0.3,386.69,82.26,469.99,54.44,1.31,-3.76,-2.88,-24.72,134.7,-17.56,-0.49,5.63,13.18,-111.96,-62.86,-7232.78,-51.7,0.01,0.06,0.12,299.35,12.85,247.35,14.3,0.95,109.01,115.06,-51.92,99.13,-37.9,0.07,7.02,9.0,-48.84,-22.9,108.94,-22.63,0.02,0.05,0.09,359.8,11.37,358.11,16.39,1.17,-5.54,-4.76,-11.4,116.51,6.7,-0.13,9.64,8.01,61.95,15,1
16,-68.23,378.11,-17.06,0.05,0.85,0.85,91.28,84.83,106.28,,1.18,-6.54,-5.54,-68.23,118.04,-57.8,,0.0,0.0,0.0,-23.35,76.13,-14.19,0.2,0.77,0.77,221.16,161.42,285.81,,1.31,-4.26,-3.26,-23.35,130.67,-17.87,,0.0,0.0,0.0,-6.8,12.34,-162.39,0.0,0.0,0.0,8694.93,9.11,2363.21,4.53,1.55,-2.82,-1.82,-6.8,155.09,-0.24,0.37,35.83,0.0,0.0,15,1
17,6.13,26.98,17.44,0.02,1.18,1.35,1039.13,286.58,254.44,44.65,0.63,2.76,4.4,14.68,77.3,19.49,0.57,0.0,24.36,71.2,3.08,14.59,9.44,0.03,0.67,0.77,1116.23,200.61,261.64,31.52,0.65,3.07,4.74,12.02,78.89,11.94,0.62,14.01,27.4,62.35,0.32,1.4,0.88,0.1,0.5,0.61,995.66,153.83,379.6,44.71,0.61,2.67,4.36,10.39,61.22,9.28,0.48,13.68,17.34,46.4,15,1
18,-11.97,36.28,-27.47,0.11,0.39,0.71,837.29,305.12,783.27,335.63,1.33,-4.03,-3.03,-3.26,133.0,-6.39,-3.13,33.64,20.0,-47.13,-8.11,14.11,-8.88,0.01,0.37,0.56,398.46,223.44,499.34,123.13,1.57,-2.74,-1.74,4.23,157.49,-3.3,-4.98,30.08,13.5,-71.15,-123.49,39.83,-51.18,0.02,0.08,0.17,150.86,14.7,606.35,56.67,4.1,-1.32,-0.32,-83.41,410.07,-27.87,-10.12,-5.99,12.14,-84.6,15,1
19,-14.72,-32.17,-47.61,0.09,1.03,1.75,1180.22,419.21,416.18,324.44,0.51,1.11,2.18,5.91,54.23,-1.16,1.48,2.53,66.72,-128.24,-0.79,-2.62,-3.65,0.43,1.07,1.4,1686.27,436.39,471.16,228.19,0.68,2.26,3.33,7.54,70.01,12.72,1.23,34.7,38.55,-87.11,-25.75,-220.94,-78.44,0.01,0.26,0.59,1108.74,188.91,603.83,318.35,85.54,733.91,8.58,-16.96,85.54,-13.78,0.25,32.38,18.19,-44.22,15,1
20,-25.04,152.35,-59.16,0.29,0.46,0.82,860.18,131.75,773.81,279.35,116.43,-708.53,-6.09,-24.41,116.43,-12.32,0.35,0.0,1.47,-1.25,-20.76,27.11,-27.79,0.18,0.28,0.58,487.21,82.64,648.14,245.03,176.58,-230.58,-1.31,-19.58,176.58,6.88,-24.09,32.3,1.59,-2.28,0.18,-0.33,0.22,0.07,0.44,0.68,439.26,245.13,664.21,162.2,156.04,-278.44,-1.78,1.15,156.04,4.75,10.64,2.37,1.16,-20.16,16,1
21,-7.75,-30.49,-23.03,0.0,0.22,0.86,1081.82,140.91,641.36,416.86,0.71,2.8,3.94,5.11,74.59,0.67,0.69,1.82,38.22,1212.17,-28.79,200.38,-84.43,0.12,0.69,0.83,1067.6,641.15,1118.26,156.55,1.14,-7.96,-6.96,-15.89,114.37,-19.77,-1.08,1.9,27.55,-47.5,0.0,0.0,,0.12,0.69,0.83,,,,,1.14,-7.96,-6.96,0.0,114.37,0.0,-1.08,1.9,,,16,1
22,0.32,2.12,1.56,0.01,0.26,0.69,1769.38,100.85,295.24,205.62,0.67,4.46,6.62,7.83,84.89,11.99,0.68,43.64,36.5,711.57,-4.17,-36.77,-18.9,0.0,0.17,0.65,1648.7,56.04,293.0,232.53,0.72,6.37,8.81,4.18,72.24,5.5,0.66,45.22,26.44,31097.09,-9.88,-345.82,-47.62,0.01,0.15,0.44,1753.6,41.1,521.44,196.32,0.8,28.12,34.99,-0.92,80.38,-0.55,0.52,41.47,30.41,-108.9,16,1
23,15.77,64.88,12.94,0.0,0.24,0.65,298.68,41.49,105.12,72.81,0.66,2.73,4.11,20.97,75.69,36.0,0.55,24.68,4.26,451.67,-2.07,-7.38,-2.2,0.01,0.06,0.63,387.24,8.3,107.2,95.87,0.64,2.28,3.56,2.45,64.17,16.35,0.62,16.25,3.58,43.91,-0.35,-1131.82,-0.85,0.02,0.83,1.41,885.8,197.07,223.3,141.69,0.97,3140.72,3251.47,1.37,96.59,10.47,1.06,2.3,3.09,28.0,16,1
24,6.37,11.79,243.78,0.18,0.62,0.62,13936.63,419.67,955.46,2.16,0.32,0.59,1.85,6.57,46.0,52.63,0.82,0.0,7.83,9.27,-1.59,-2.67,-207.95,0.03,0.11,0.11,47715.24,433.5,5755.04,8.3,0.41,0.68,1.68,-1.25,40.57,20.15,0.89,0.0,43.97,103.79,-19.76,-43.56,-923.05,0.01,0.11,0.11,17005.03,394.04,3906.6,3.23,0.55,1.2,2.2,-19.36,54.64,-16.59,0.79,0.0,18.39,53.49,16,1
25,0.51,3.32,7.12,0.0,2.17,2.18,5057.67,4803.92,693.02,20.26,0.92,5.95,6.49,0.51,91.78,3.28,4.51,30.41,0.0,0.0,-11.36,6.85,,0.0,0.61,0.61,2949.47,2618.31,1754.3,35.76,2.88,-1.73,-0.6,-11.36,287.65,-3.44,-18.5,88.02,0.0,0.0,1.57,-1.17,,0.01,3.03,3.15,1300.56,1007.99,334.6,42.64,2.34,-1.74,-0.74,1.65,234.31,1.54,-20.21,0.0,0.0,0.0,16,1
26,-1.89,-6.27,-6.11,0.0,0.47,0.75,1178.38,212.56,341.78,136.16,0.68,2.28,3.32,2.82,69.9,6.46,0.59,16.33,15.23,73.62,-0.32,-1.34,-0.9,0.0,0.14,0.34,1006.06,77.89,431.48,109.32,0.74,3.07,4.12,8.61,74.44,5.69,0.4,16.75,17.97,76.6,-1.89,35.44,-6.1,0.0,0.21,0.52,1175.47,148.15,569.59,216.58,1.04,-19.53,-18.75,4.77,104.11,4.67,0.46,13.03,16.0,109.71,16,1
27,2.14,22.14,1.6,0.01,0.41,0.53,272.1,64.03,138.95,17.67,0.9,9.29,10.36,9.05,89.65,10.92,0.56,6.58,3.81,34.31,-5.01,-95.63,-4.7,0.0,0.34,0.45,341.39,63.9,169.81,19.99,0.94,18.01,19.09,1.47,94.36,4.03,0.54,5.57,4.48,35.34,-165.47,116.18,-56.63,0.0,0.21,0.31,124.57,56.83,256.89,27.4,2.42,-1.7,-0.7,-143.25,242.43,-25.56,-4.48,15.69,5.61,50.34,16,1
28,11.66,552.16,5.32,0.37,1.43,1.5,166.15,5.93,77.14,5.27,0.98,46.36,47.36,32.49,97.89,21.82,0.94,0.0,9.51,64.01,21.8,95.3,9.74,0.06,1.12,1.21,162.7,122.36,115.63,10.94,0.77,3.37,4.37,44.09,77.13,35.72,2.36,0.0,9.97,35.46,-877.56,122.86,-104.74,0.0,0.08,0.08,43.56,28.29,321.54,,8.14,-1.14,-0.14,-712.08,814.26,-92.06,-28.18,64.38,19.75,-32.6,13,1
29,-18.12,160.82,-16.63,0.08,0.9,0.9,334.13,301.16,367.65,,1.11,-9.88,-8.88,-14.5,111.26,-16.28,,0.0,3.32,-20.49,0.47,-15.52,1.13,0.01,0.77,0.77,874.08,680.2,888.24,,1.03,-34.0,-33.03,16.51,103.03,0.46,,0.0,38.53,93.87,-123.32,98.14,-11.72,0.12,0.38,0.38,34.7,19.72,76.6,,2.26,-1.8,-0.8,-100.08,225.65,-54.65,,0.0,2.21,-23.51,13,1
30,0.09,12.53,0.21,0.03,0.68,1.89,891.64,259.58,136.3,486.07,0.84,122.85,145.46,1.54,99.31,1.15,1.44,49.65,3.55,-35.1,-0.6,-9.97,-5.8,0.0,0.54,1.68,3519.67,958.89,980.83,2080.45,0.81,13.55,16.63,-0.33,93.99,-0.23,2.69,38.36,2.6,23.61,-49.12,91.54,-1300.99,0.0,1.52,3.17,9666.58,4536.55,2986.45,4999.08,1.54,-2.86,-1.86,-48.36,153.66,-31.81,99.9,38.49,20.25,34.0,13,1
31,-998.71,100.64,-274.64,0.0,0.09,0.09,100.1,79.28,1064.88,,10.9,-1.1,-0.1,-967.44,1092.38,-91.46,,0.0,8.6,-43.95,221.18,-7.89,,0.01,0.03,0.03,,,,,29.02,-1.04,-0.04,221.11,2901.95,7.62,,0.0,,-0.07,-59.81,1.84,,0.0,0.03,0.03,,,,,33.54,-1.03,-0.03,-59.81,3354.5,-1.78,,0.0,,0.0,13,1
32,6.42,12.5,2.84,1.49,3.5,3.5,161.1,66.67,33.1,,0.49,0.95,1.95,6.42,48.6,31.31,3.0,0.0,0.0,0.0,2.76,59.54,2.65,0.02,1.04,1.04,350.09,320.74,312.51,,0.95,20.61,21.61,7.72,95.37,3.77,1.63,1.2,4.78,51.54,4.81,62.02,3.13,0.07,1.47,1.47,237.0,206.12,145.96,,0.92,11.88,12.88,9.95,92.24,6.91,1.24,0.58,3.33,39.5,13,1
33,-8.29,-124.03,-3.42,0.05,0.62,0.75,150.44,69.92,131.91,16.68,0.93,13.97,14.97,3.51,93.32,-5.8,0.37,0.0,4.88,60.52,-8.87,222.38,-4.79,0.06,1.15,1.16,196.69,170.64,157.18,1.43,1.04,-26.08,-25.08,0.17,103.99,-7.1,-0.51,4.01,4.88,164.84,-204.6,87.99,-116.4,0.07,0.33,0.33,207.65,140.08,565.24,2.04,3.33,-1.43,-0.43,-183.64,332.52,-60.14,-46.74,0.02,11.93,-23.92,13,1
34,0.43,17.69,0.06,0.34,1.01,1.01,47.6,29.22,43.63,,0.98,40.58,41.58,38.42,97.6,4.46,1.09,3.45,4.97,11.81,3.62,63.42,3.05,0.2,1.06,1.06,307.03,245.22,283.81,,0.94,16.54,17.54,21.31,94.3,5.81,15.66,0.0,14.92,75.98,-591.96,106.09,-53.84,0.01,0.15,0.15,33.2,28.98,212.87,,6.58,-1.18,-0.18,263.42,657.99,-89.89,-191.24,0.0,77.8,254.73,13,1
35,14.08,139.48,9.88,0.02,0.69,0.82,255.39,143.95,193.86,26.84,0.9,8.88,9.9,26.18,89.9,20.61,0.47,11.46,8.49,35.59,1.06,12.84,0.78,0.07,0.88,0.89,269.37,193.53,209.52,1.56,0.92,11.15,12.15,11.54,91.77,4.33,0.48,12.15,7.76,59.92,-298.35,98.84,,0.0,0.07,0.07,,,,,4.02,-1.33,-0.33,-277.98,401.87,-72.22,-4.24,55.24,,-9.23,13,1
36,-0.53,-4.75,-0.61,0.0,0.97,0.99,421.69,224.77,204.64,6.42,0.89,8.03,9.04,15.79,88.94,3.27,1.98,27.33,18.9,98.02,-4.4,-57.17,-6.77,0.04,0.98,0.99,559.81,353.22,274.74,7.13,0.92,11.99,12.99,9.75,92.3,-1.72,1.96,28.15,21.76,94.8,-11.33,-360.04,-16.57,0.25,1.06,1.07,534.02,309.32,329.63,2.56,0.97,30.78,31.78,-1.89,96.85,-9.12,1.58,23.68,13.81,-5111.41,13,1
37,-320.17,100.0,,,,,,,,,4.2,-1.31,-0.31,-320.17,420.17,-76.2,,0.0,,0.0,-30.75,102.93,-10.59,0.0,0.79,0.79,125.39,123.72,156.33,0.0,1.3,-4.35,-3.35,125.92,129.87,-23.67,,0.0,53.97,127.34,-12530.36,65.25,-15.53,0.0,0.01,0.01,0.45,0.3,84.83,0.0,193.03,-1.01,-0.01,26220.79,19303.23,-64.91,,0.0,48.03,144.0,13,1
38,-10.88,150.13,-7.42,0.29,0.81,0.81,248.28,110.25,204.33,1.1,0.97,-13.44,-13.79,16.09,107.25,-9.92,-0.36,12.9,18.4,152.52,-6.48,-123.14,-3.97,0.05,0.84,0.85,222.97,98.25,150.74,1.34,0.88,16.8,19.01,19.86,94.74,-0.4,0.58,0.0,16.13,76.59,-16.58,132.08,-12.27,0.02,0.66,0.67,270.12,174.13,290.34,1.19,1.1,-8.77,-7.97,0.87,112.55,-9.77,-0.44,0.0,12.91,290.34,13,1
39,-6.41,-297.62,-4.17,0.61,0.72,0.76,236.63,24.58,223.93,9.14,0.98,45.44,46.44,54.05,97.85,-5.98,0.16,0.0,39.3,89.4,-62.78,106.43,-47.31,0.45,0.48,0.52,274.29,10.88,348.33,13.53,1.59,-2.7,-1.7,10.18,158.99,-30.3,-0.93,0.0,54.98,190.12,-155.75,49.82,-38.36,0.06,0.08,0.12,89.89,7.23,315.85,11.95,4.13,-1.32,-0.32,19.14,412.61,-30.25,-4.58,0.0,43.07,156.14,13,1
40,0.45,2.81,0.3,0.03,0.89,0.89,242.18,141.08,198.49,0.0,0.84,5.18,6.19,14.97,83.83,7.16,0.64,0.0,9.66,87.81,7.3,51.46,6.16,0.0,1.03,1.06,307.11,230.01,244.35,7.08,0.86,6.05,7.05,14.76,85.82,15.51,1.34,1.74,6.29,40.79,-27.21,-4476.44,-59.54,0.0,1.03,1.03,798.6,777.99,754.62,0.0,0.99,163.5,164.5,-18.48,99.39,-25.86,5.09,0.0,19.12,87.49,13,1
41,-12.14,103.54,-20.94,0.02,0.89,0.89,627.77,602.42,693.67,,1.12,-9.53,-8.53,-11.79,111.73,-10.41,-15.33,0.0,0.61,-3.2,-6.22,33.17,-22.45,0.0,0.84,0.84,1314.52,1292.98,1543.73,,1.19,-6.33,-5.33,-5.76,118.75,-4.84,-50.27,0.0,1.64,-9.14,-5.41,16.38,-252.06,0.0,0.75,0.75,17000.73,16735.76,22307.19,,1.33,-4.03,-3.03,-5.2,133.04,-3.77,-218.04,0.0,9.82,-4.64,13,1
42,-9.72,-65.69,-33.11,0.03,0.48,0.9,1239.73,418.12,404.99,397.23,0.85,5.76,6.76,-3.96,85.2,-4.68,0.69,43.71,19.61,111.77,-6.1,-55.3,-7.08,0.02,0.56,0.8,422.4,199.41,168.3,87.57,0.89,8.06,9.06,0.99,88.96,1.43,0.38,48.27,8.24,29.42,-1.96,-22.9,-3.83,0.0,0.57,0.8,712.92,364.19,335.6,145.3,0.91,10.69,11.69,3.99,91.45,-0.98,0.33,43.17,11.61,99.82,13,1
43,4.5,9.53,3.55,0.16,1.71,1.92,286.66,221.41,142.84,31.3,0.53,1.11,2.12,25.73,52.65,12.89,16.42,,16.72,70.15,-3.92,-8.92,-3.39,0.01,1.5,1.66,314.48,252.81,166.03,27.24,0.56,1.27,2.28,9.52,56.05,-4.65,4.91,1.23,11.61,103.46,-9.96,-34.36,-21.79,0.01,1.34,1.39,798.4,733.85,521.9,29.76,0.71,2.44,3.45,0.08,71.01,-12.82,13.0,3.78,21.97,530.42,13,1
44,-67.99,100.0,-82.49,0.36,0.41,0.41,309.4,31.66,733.43,0.0,1.68,-2.47,-1.47,-49.71,167.99,-35.4,-2.15,0.0,22.17,-46.2,-24.38,44.07,-16.49,0.19,0.41,0.56,246.27,84.39,377.77,56.91,1.55,-2.81,-1.81,13.24,155.32,-11.99,-4.3,0.0,25.45,197.67,-52.23,54.82,-36.78,0.01,0.13,0.39,257.04,62.8,494.33,130.96,1.95,-2.05,-1.05,-20.78,195.28,-24.46,-4.12,0.0,22.15,-196.17,13,1
45,2.46,13.51,2.04,0.03,0.98,1.19,300.74,208.6,207.69,46.91,0.77,4.22,5.49,19.35,81.77,5.48,2.53,4.7,13.95,83.37,1.47,18.66,1.15,0.04,1.11,1.12,286.59,231.36,201.29,1.13,0.92,11.72,12.73,12.68,92.14,2.87,1.51,6.16,8.83,75.49,0.14,2.85,0.12,0.02,1.06,1.07,302.89,263.78,247.84,1.65,0.95,18.67,19.68,7.47,94.92,1.02,1.53,2.33,6.08,77.95,13,1
46,3.03,17.59,1.54,0.02,0.72,0.81,185.28,78.26,72.72,10.05,0.79,4.6,5.81,28.05,82.78,20.38,0.64,25.3,12.74,54.93,8.13,32.61,3.41,0.0,0.77,0.78,152.57,75.09,77.54,1.53,0.75,2.99,4.01,42.31,75.07,19.07,0.62,17.04,14.33,63.32,-3.59,-73.19,-1.44,0.0,0.81,0.84,146.34,96.17,106.91,4.6,0.95,19.4,20.4,11.42,95.1,-0.25,0.35,16.56,6.02,98.18,13,1
47,2.12,31.79,0.47,0.12,0.88,0.89,80.04,48.44,63.61,0.79,0.93,13.97,14.97,20.62,93.32,12.38,0.82,0.0,4.07,53.66,-34.46,-2464.25,-13.29,0.17,0.57,0.72,140.38,48.56,110.36,17.2,0.99,70.52,71.52,-7.21,98.6,-27.0,0.36,6.69,10.51,455.41,3.57,67.76,1.26,,0.87,0.98,128.37,,108.02,12.91,0.95,17.97,18.97,18.47,94.73,6.29,0.79,8.41,5.24,54.56,13,1
48,0.59,8.94,0.7,0.21,1.54,2.27,429.31,215.5,162.08,119.57,1.11,16.79,15.17,0.68,93.41,0.6,4.88,0.0,0.11,14.08,2.98,30.29,1.58,0.02,0.84,0.84,193.28,91.77,113.09,0.1,1.06,10.78,10.18,3.69,90.17,4.32,0.2,0.0,0.38,21.26,-24.89,175.24,-220.48,0.02,0.55,0.55,3233.38,1237.61,2383.09,,1.23,-8.63,-7.04,-23.87,114.2,-16.02,-0.24,0.0,9.04,-5.69,13,1
49,0.27,37.09,0.16,0.09,0.92,0.92,111.14,165.39,209.05,0.0,0.99,137.0,138.0,1.32,99.28,0.27,,0.0,0.62,108.44,0.09,32.53,0.04,0.08,0.62,0.92,162.14,82.78,141.64,46.28,1.0,355.57,356.57,3.11,99.72,1.75,1.01,11.2,1.35,62.46,-11.02,102.58,-6.37,0.07,0.72,0.85,210.92,131.85,203.77,26.51,1.11,-10.31,-9.31,-7.46,110.74,-8.79,-2.54,2.66,2.06,-70.21,13,1
50,-5.19,-11.27,-12.61,0.0,0.3,1.07,884.81,111.47,283.01,303.62,0.53,1.15,2.17,12.31,53.96,-5.43,0.92,11.73,42.53,129.74,-14.03,-38.23,-3.63,0.06,0.78,1.16,94.22,36.29,37.38,19.78,0.61,1.65,2.72,3.99,63.29,-13.89,1.11,14.44,4.67,63.84,-42.66,-158.03,-173.74,0.02,0.35,0.92,1486.4,242.27,758.99,436.18,0.73,2.7,3.7,-19.66,73.0,-48.74,0.79,14.28,93.68,-736.22,13,1
51,-1.65,-11.43,-0.6,0.03,0.4,0.9,133.0,30.92,72.78,43.61,0.69,4.77,6.94,68.54,85.6,4.02,0.47,9.27,25.64,95.72,-3.81,-36.66,-1.59,0.01,0.7,1.12,151.61,83.86,107.28,52.92,0.9,8.63,9.63,36.22,89.61,-0.3,1.96,10.29,16.67,96.64,-36.23,233.49,-9.55,0.0,0.3,0.79,96.26,30.85,88.95,54.13,1.16,-7.44,-6.44,29.34,115.52,-26.23,-1.39,19.77,17.29,178.63,13,1
52,2.83,12.0,2.15,0.03,1.0,1.16,276.99,129.32,127.14,24.87,0.68,2.87,4.24,9.65,76.43,7.83,1.0,13.46,5.19,37.38,1.98,6.14,3.11,0.01,1.1,1.11,572.66,333.57,239.93,5.26,0.68,2.11,3.11,9.17,67.8,5.11,1.22,22.32,11.32,55.76,-69.92,600.87,-74.48,0.01,0.47,0.48,388.77,60.97,207.38,4.26,1.12,-9.59,-8.59,-62.81,111.64,-60.66,-0.14,51.05,7.58,197.15,13,1
53,0.09,0.15,0.08,0.0,1.19,1.68,306.62,151.33,111.93,63.53,0.39,0.64,1.64,19.48,39.0,17.08,2.47,13.42,16.33,90.02,-21.56,-100.15,-24.18,0.01,0.87,0.94,409.28,319.55,346.51,26.16,0.78,3.64,4.64,-4.93,78.47,-23.55,1.86,9.48,18.65,125.08,-93.43,113.0,-108.08,0.0,0.48,0.48,421.07,391.57,788.8,0.0,1.83,-2.21,-1.21,-78.87,182.68,-46.07,-11.78,9.48,16.85,-426.96,14,1
