Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
0,0.11,0.29,0.45,0.2,0.85,3.5,1482.37,154.85,240.3,645.76,0.61,1.56,2.56,32.35,60.91,11.22,1.93,0.0,130.93,-21631.08,-4.43,-15.43,-31.51,0.67,1.12,3.15,2587.79,227.15,505.66,1040.6,0.71,2.48,3.48,22.24,71.27,0.29,2.1,16.49,189.62,-533.87,1.62,4.24,9.96,0.02,0.17,0.96,2239.76,199.66,1323.33,1038.67,0.62,1.62,2.62,32.51,61.84,14.77,0.9,0.0,137.56,-341.88,0,TRAIN,8.0
1,9.66,13.98,10.47,0.58,1.39,2.12,395.69,92.54,113.57,83.58,0.31,0.45,1.45,28.06,30.91,99.66,1.82,0.0,19.96,99.48,16.72,24.63,25.53,0.2,1.19,1.58,555.72,162.2,163.49,63.97,0.32,0.47,1.47,30.57,32.1,89.28,1.3,0.0,21.14,125.2,-5.75,-8.3,-15.07,0.1,0.42,1.62,954.2,84.53,265.23,317.98,0.31,0.44,1.44,13.69,30.75,46.28,1.29,0.0,36.26,389.61,0,TRAIN,8.0
2,-1053.64,-654.72,-3.49,-1.64,-1.64,-1.64,1.12,0.0,-0.73,0.0,-0.61,-0.38,0.62,-1053.64,-60.93,1729.24,,0.0,0.0,0.0,9.38,75.45,,1.14,1.14,1.14,43.27,,37.47,,0.88,7.04,8.04,9.38,87.57,10.71,,0.0,0.0,0.0,47.41,58.58,,2.03,5.54,5.54,15.04,9.43,2.68,,0.18,0.22,1.24,47.41,18.03,262.87,,0.0,0.0,0.0,0,TRAIN,8.0
3,-0.06,-0.08,-0.14,0.13,1.56,1.56,891.79,266.12,167.93,0.01,0.24,0.32,1.32,1.83,24.18,0.29,1.2,3.45,4.62,69.55,0.13,0.17,0.47,0.1,1.6,1.6,1304.6,400.27,247.53,0.03,0.23,0.31,1.31,2.06,23.5,0.67,1.2,2.63,6.9,75.76,0.34,0.48,0.53,0.01,1.4,1.4,567.37,194.68,152.93,0.01,0.3,0.42,1.42,2.16,29.79,1.19,1.18,0.97,2.06,54.3,0,TRAIN,8.0
4,0.64,2.08,1.89,0.0,1.57,2.63,1079.24,349.18,146.56,241.44,0.57,1.83,3.24,13.03,69.15,13.79,0.75,7.27,36.62,191.41,0.3,1.12,0.93,0.02,1.78,2.83,1141.23,429.99,164.57,262.68,0.65,2.46,3.76,12.72,73.39,11.24,0.74,7.24,38.96,217.99,0.18,0.78,0.74,0.01,1.71,2.49,1472.59,652.41,280.41,303.46,0.72,3.04,4.25,10.8,76.47,7.38,0.72,7.13,42.96,143.3,0,TRAIN,8.0
5,1.17,4.5,2.73,0.03,0.56,0.75,849.28,209.58,365.92,76.67,0.61,2.34,3.84,9.54,73.95,17.75,0.48,6.1,19.46,301.92,1.43,4.71,3.54,0.15,0.4,0.59,899.58,109.36,432.86,84.85,0.58,1.92,3.28,10.07,69.55,16.31,0.48,2.7,21.35,263.38,5.32,15.9,14.16,0.12,0.39,0.59,968.47,135.97,498.44,102.8,0.56,1.68,2.99,13.45,56.26,21.13,0.51,0.0,15.17,77.48,0,TRAIN,8.0
6,9.51,10.34,16.99,7.82,10.44,16.59,652.39,63.02,24.03,149.92,0.08,0.09,1.09,25.87,8.11,222.32,2.46,0.0,29.26,80.62,-9.75,-10.4,-20.13,10.0,10.29,19.43,751.3,6.48,22.61,209.45,0.06,0.07,1.07,11.15,6.22,2.57,2.32,0.0,43.15,429.93,-7.46,-8.1,-12.09,6.83,7.99,14.04,589.82,29.44,25.36,153.57,0.08,0.08,1.08,16.67,7.81,45.06,2.4,0.0,28.16,196.93,0,TRAIN,8.0
7,-47.86,705.33,-32.02,0.05,0.94,0.94,115.08,229.18,257.21,,1.07,-15.74,-14.74,-47.86,106.78,-44.82,,0.0,0.0,0.0,65.62,116.49,58.36,2.29,2.29,2.29,323.71,,139.79,,0.44,0.78,1.78,65.62,43.66,150.3,,0.0,0.0,0.0,-13.88,-15.57,,9.26,9.26,9.26,479.29,,51.16,,0.11,0.12,1.12,3.39,10.86,-127.84,,0.0,16.81,91.59,0,TRAIN,8.0
8,40.02,66.32,13.35,0.65,2.3,2.3,121.8,77.95,47.22,,0.4,0.66,1.66,92.24,39.66,124.81,6.37,0.0,17.42,45.99,5.69,14.12,3.38,0.04,1.6,1.6,216.36,188.71,118.27,,0.6,1.48,2.48,37.28,59.69,23.86,4.59,1.35,18.77,61.54,3.18,5.22,1.82,0.01,2.43,2.43,207.93,174.95,30.79,,0.39,0.64,1.64,59.92,38.97,20.57,4.5,20.21,32.41,83.79,0,TRAIN,8.0
9,7.87,17.25,1.93,1.24,3.3,3.3,89.29,54.97,27.05,0.0,0.54,1.19,2.19,221.63,54.35,38.67,,-0.39,52.29,89.94,1.09,2.1,0.18,5.15,4.34,4.34,58.8,-10.94,13.4,0.0,0.48,0.93,1.93,242.38,48.13,2.26,,0.0,38.98,97.19,0.97,1.07,0.11,-2.83,-3.14,-3.14,41.48,4.03,-13.07,0.0,0.1,0.11,1.11,474.9,9.91,9.76,,0.0,54.01,97.55,0,TRAIN,8.0
