Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
10,-5.3,-12.76,-9.47,0.01,0.28,1.0,652.24,51.82,187.07,137.95,0.41,1.0,2.41,17.08,58.46,22.59,0.74,0.36,40.0,148.47,-7.13,-19.91,-13.59,0.01,0.48,1.19,693.67,94.41,193.47,145.27,0.5,1.39,2.79,14.69,64.2,15.2,0.84,1.14,41.57,144.04,-1.06,-2.92,-1.84,0.01,0.66,1.44,628.26,122.03,190.02,148.64,0.49,1.35,2.75,22.0,49.24,27.4,0.95,1.9,28.57,86.78,0,TRAIN,8.0
11,4.46,44.43,1.23,0.07,0.9,0.9,100.56,65.74,78.59,0.0,0.9,8.97,9.97,71.33,89.97,17.05,0.65,0.0,18.42,75.92,-20.19,151.35,-5.09,0.08,0.69,0.98,91.71,49.1,80.22,23.32,1.13,-8.5,-7.5,37.41,113.34,-9.74,-0.85,0.0,14.51,112.68,0.22,-1.03,0.03,0.2,0.73,0.79,47.51,28.37,52.97,2.87,1.22,-5.59,-4.59,107.91,121.78,8.74,-2.15,0.0,10.05,54.0,0,TRAIN,8.0
12,1.44,1.95,1.42,1.25,2.71,3.09,360.15,78.79,52.57,24.82,0.26,0.35,1.35,29.02,25.93,44.57,1.86,6.13,27.21,68.09,10.55,14.15,10.31,0.4,3.03,3.35,355.86,162.77,57.47,22.36,0.25,0.34,1.34,37.39,25.42,70.31,2.3,5.25,18.71,42.23,4.23,5.62,3.74,0.88,3.43,3.67,321.56,134.92,57.71,14.56,0.25,0.33,1.33,34.26,24.64,35.51,2.62,2.1,19.05,54.23,0,TRAIN,8.0
13,3.6,12.96,7.96,0.04,0.22,1.13,805.88,46.53,256.43,236.14,0.67,2.41,3.6,16.72,72.19,27.32,0.48,0.0,28.97,76.82,-5.81,-8.94,-13.97,0.03,0.33,1.1,874.93,68.3,124.3,176.29,0.34,0.52,1.54,4.33,35.0,11.77,1.07,18.14,24.38,158.18,2.21,3.07,4.61,0.01,0.5,1.62,760.27,77.11,78.04,177.74,0.27,0.38,1.39,12.37,27.08,48.45,1.22,15.95,15.25,47.84,0,TRAIN,8.0
14,1.12,-3.18,1.86,0.23,0.23,0.23,604.14,1.3,799.86,1.88,1.35,-3.83,-2.83,16.72,135.35,4.32,-0.51,0.0,25.81,67.1,6.06,-40.19,11.54,0.13,0.43,0.44,693.21,238.51,784.13,2.57,1.15,-7.63,-6.63,15.81,115.08,7.9,-0.3,0.0,18.57,44.83,19.2,127.92,7.9,0.08,0.78,0.78,149.71,87.21,125.4,0.16,0.85,5.66,6.66,65.08,84.99,27.88,0.45,0.0,13.26,38.91,0,TRAIN,8.0
15,6.21,56.61,3.67,0.1,1.01,1.06,215.71,154.39,147.39,8.55,0.89,8.12,9.12,10.05,89.04,10.33,0.73,10.36,2.27,25.41,0.1,0.92,0.11,0.4,1.06,1.1,387.51,207.59,312.67,10.7,0.89,8.04,9.04,1.9,88.94,5.63,1.79,0.0,1.91,23.18,0.32,6.61,,0.2,1.13,1.16,210.33,163.16,175.17,5.11,0.95,19.99,20.99,1.12,95.24,2.35,7.22,0.0,0.31,15.93,0,TRAIN,8.0
16,7.09,37.24,38.36,17.93,29.93,29.93,1974.8,136.17,11.34,,0.81,4.25,5.25,7.13,80.96,16.47,1.2,68.42,0.24,0.25,6.14,31.62,33.78,332.43,623.74,623.74,2003.29,163.3,0.56,,0.81,4.15,5.15,6.21,80.59,15.97,1.21,67.72,0.4,0.43,6.33,30.77,,24.29,40.57,40.57,1950.89,159.85,2.31,,0.79,3.84,4.86,6.41,79.01,16.95,1.25,65.42,0.3,0.33,0,TRAIN,8.0
17,1.72,2.11,4.97,2.4,4.89,8.51,1056.43,165.02,66.17,242.48,0.16,0.2,1.23,16.99,18.61,62.68,2.02,0.0,44.2,83.67,-16.57,-55.17,-23.29,0.71,1.09,2.43,511.46,40.55,106.43,145.06,0.54,1.8,3.33,23.97,69.96,-6.92,1.27,27.76,56.97,-10439.25,11.85,27.6,14.93,0.18,0.42,1.45,458.65,39.75,165.69,171.6,0.44,1.02,2.33,56.02,43.79,49.21,1.02,1.49,39.74,150.17,0,TRAIN,8.0
18,-871.16,134.59,-16.01,0.0,0.13,0.13,6.71,0.0,49.44,0.0,7.47,-1.15,-0.15,-222.61,747.25,-116.58,,0.0,11.92,-313.16,3.45,-2.71,0.96,0.14,0.44,0.44,101.29,5.48,227.61,0.0,2.27,-1.79,-0.79,3.45,227.21,1.52,,0.0,0.0,0.0,16.63,-127.76,7.43,0.3,0.88,0.88,162.57,105.42,181.71,,1.13,-8.68,-7.68,26.36,113.01,14.71,,0.0,4.35,30.55,0,TRAIN,8.0
19,8.44,33.8,3.22,0.12,1.93,2.13,139.01,70.84,58.06,11.67,0.73,2.94,4.01,59.48,75.03,15.03,13.32,0.0,19.49,70.14,3.74,18.83,1.66,0.41,1.67,1.88,161.38,84.27,75.95,15.83,0.56,2.8,5.04,41.34,80.16,9.42,5.94,0.0,16.67,82.57,6.03,16.95,1.8,0.15,1.54,1.82,108.57,72.41,53.13,14.68,60.86,170.97,2.81,63.39,60.86,14.33,3.74,0.0,12.36,63.03,0,TRAIN,8.0
20,9.64,14.75,11.28,1.11,1.92,2.17,427.25,81.17,99.93,24.65,0.35,0.53,1.53,15.58,34.68,64.48,1.58,10.57,6.96,20.2,5.11,5.84,6.81,18.74,22.2,32.75,484.72,21.9,6.32,67.66,0.13,0.14,1.14,14.94,12.52,196.71,1.75,5.6,13.09,45.66,2.5,2.74,2.97,8.04,8.8,12.5,432.76,14.42,19.0,70.39,0.09,0.1,1.1,16.11,8.79,254.89,2.05,0.0,16.18,63.85,0,TRAIN,8.0
21,0.47,0.16,0.26,-0.09,-0.09,-0.54,199.38,0.0,-362.5,165.02,-1.84,-0.65,0.35,113.58,-184.34,-0.25,,0.0,61.79,99.48,0.43,0.43,0.39,-24.55,-24.55,-305.27,331.34,,-1.07,305.54,0.0,0.0,1.0,39.99,-0.09,-483.33,,0.0,36.01,96.34,16.13,19.13,11.03,0.14,0.14,6.5,248.84,,37.86,240.63,0.16,0.19,1.19,46.04,15.66,103.05,,0.0,20.44,58.07,0,TRAIN,8.0
22,29.54,31.2,81.98,18.8,18.8,18.8,1013.06,,53.14,,0.05,0.06,1.06,29.54,5.32,555.37,,0.0,0.0,0.0,1.0,1.01,1.11,119.2,164.2,164.2,400.73,108.62,2.41,,0.01,0.01,1.01,1.0,0.61,165.0,,0.0,0.0,0.0,-9.01,-10.78,-15.4,4.18,6.1,6.1,622.08,193.79,100.82,,0.16,0.2,1.2,-9.01,16.39,-54.98,,0.0,0.0,0.0,0,TRAIN,8.0
23,0.87,10.83,0.42,0.16,1.1,1.1,176.21,149.26,157.48,,0.92,11.39,12.39,68.4,91.93,0.95,,0.0,32.6,97.15,-0.25,-5.39,-0.12,0.39,0.9,0.9,168.74,80.16,155.87,,0.95,20.5,21.5,46.94,95.35,0.83,0.34,0.0,21.88,87.45,-12.05,-1336.72,-5.86,0.01,0.69,0.69,177.05,117.07,172.45,,0.99,109.97,110.97,17.75,99.1,-0.47,0.03,0.0,14.49,61.04,0,TRAIN,8.0
24,-0.06,-0.14,-0.13,0.16,0.91,4.76,829.3,37.5,49.71,193.87,0.43,1.0,2.32,16.91,56.82,46.17,1.04,0.0,38.56,147.44,-1.68,-4.82,-5.88,0.0,2.12,4.46,1273.1,285.17,89.8,319.35,0.55,1.59,2.87,14.27,65.13,22.19,1.41,20.02,55.77,292.27,-0.33,-0.82,-0.78,0.06,0.82,4.26,850.52,58.31,73.29,263.04,0.49,1.22,2.46,17.58,49.33,31.66,1.17,3.14,29.45,130.52,0,TRAIN,8.0
25,-143.33,297.83,-261.53,0.07,0.68,0.68,666.0,586.21,973.0,,1.48,-3.08,-2.08,-79.33,148.13,-96.76,,0.0,116.79,-92.86,0.16,-0.37,0.23,0.28,0.67,0.67,512.8,287.41,727.74,,1.43,-3.3,-2.3,0.16,143.49,0.11,,0.0,0.0,0.0,-41.18,57.32,-37.9,0.21,0.58,0.58,335.02,209.85,569.36,,1.72,-2.39,-1.39,-41.18,171.84,-23.96,,0.0,0.0,0.0,0,TRAIN,8.0
26,-60.15,-100.0,-32.24,0.08,2.32,2.37,195.64,171.73,76.89,3.89,0.4,0.66,1.66,-60.15,39.85,-150.97,,0.0,0.0,0.0,44.13,49.89,25.34,8.25,8.43,8.55,208.99,4.29,23.87,3.07,0.12,0.13,1.13,44.13,11.55,382.04,,0.0,0.0,0.0,-25.94,-30.27,-5.05,6.44,6.86,6.99,70.92,4.25,10.03,1.3,14.31,16.69,1.17,-25.94,14.31,-181.31,,0.0,0.0,0.0,0,TRAIN,8.0
27,-1.61,-3.33,-2.16,0.02,0.39,0.82,491.22,90.22,198.51,102.4,0.52,1.07,2.07,20.6,51.78,11.68,0.89,8.32,29.89,72.13,-0.49,-0.89,-0.5,0.09,0.52,0.65,367.76,66.38,125.74,22.04,0.45,0.81,1.81,23.47,44.69,13.37,0.8,8.38,24.21,75.14,0.12,0.22,,0.21,0.45,0.61,426.74,44.41,149.26,32.36,0.47,0.89,1.89,23.98,47.05,12.08,0.8,10.33,20.37,55.16,0,TRAIN,8.0
28,4.45,5.13,2.22,8.97,8.97,8.97,182.03,,19.4,,0.13,0.15,1.15,10.32,13.23,137.32,,0.0,2.93,15.73,19.05,22.03,4.1,8.39,8.39,8.39,78.29,,9.02,,0.14,0.16,1.16,19.05,13.52,140.87,,0.0,0.0,0.0,10.15,11.05,,13.0,13.31,13.31,199.41,4.67,14.82,,0.08,0.09,1.09,10.15,8.1,125.29,,0.0,0.0,0.0,0,TRAIN,8.0
29,8.39,9.52,33.57,3.94,7.05,10.43,1461.34,202.26,66.27,227.14,0.06,0.06,1.13,19.7,11.87,368.08,1.71,0.0,45.31,141.04,0.47,0.52,2.64,6.93,9.46,15.75,2036.36,160.58,64.19,409.48,0.04,0.05,1.1,12.27,8.97,303.01,1.84,0.0,66.0,212.46,2.27,2.48,8.69,8.85,9.81,13.9,1390.07,52.51,54.49,222.92,0.05,0.05,1.09,13.98,4.99,291.38,2.06,0.0,31.27,123.11,0,TRAIN,8.0
30,-7.75,-8.01,-137.56,32.47,34.79,67.75,6478.56,101.16,43.6,1456.82,0.03,0.03,1.03,6.76,3.29,123.85,1.85,2.53,257.59,-736.37,-14.78,-16.62,-231.8,9.48,10.62,19.48,5707.05,143.28,125.21,1124.49,0.11,0.12,1.12,5.28,11.04,-22.91,1.73,8.68,314.51,-399.43,-11.15,-12.1,-120.16,9.07,9.68,17.69,3923.27,55.94,92.7,743.16,0.08,0.09,1.09,11.8,7.89,70.91,1.68,4.65,177.22,-662.37,0,TRAIN,8.0
31,1.02,7.04,0.32,0.57,2.33,2.33,116.62,81.02,46.12,0.01,0.86,5.93,6.93,9.41,85.56,2.45,15.71,0.0,2.68,64.44,3.53,11.7,0.44,0.3,1.3,1.33,45.55,30.73,30.8,0.92,0.7,2.32,3.32,19.04,69.85,7.04,3.88,0.0,1.94,57.48,4.82,33.12,,0.61,1.15,1.16,209.55,95.16,174.41,0.72,85.44,586.8,6.87,11.83,85.44,6.61,6.77,0.0,2.92,46.75,0,TRAIN,8.0
32,1.62,4.27,23.25,0.14,0.14,0.45,5245.11,,2885.32,919.66,0.62,1.64,2.64,6.52,62.14,53.94,0.49,0.0,70.41,186.37,0.65,1.74,4.63,0.14,0.16,0.54,2576.7,20.22,1374.92,533.29,0.62,1.67,2.67,5.86,62.49,39.63,0.53,0.0,36.85,91.14,2.24,8.2,63.2,0.13,0.14,0.58,10289.73,74.48,6554.39,2838.16,0.73,2.67,3.67,13.26,72.73,32.43,0.43,0.0,311.58,-214.12,0,TRAIN,8.0
33,9.13,9.33,79.76,41.34,46.59,46.59,1276.04,354.68,67.53,,0.02,0.02,1.02,9.13,2.15,425.2,,0.0,0.0,0.0,-47.96,-50.45,-37.24,2.87,20.25,20.25,282.61,239.95,13.81,,0.05,0.05,1.05,-47.96,4.94,-971.0,,0.0,0.0,0.0,15.38,14.64,,-0.72,-6.95,-6.95,388.73,344.59,-55.55,,-5.06,-4.81,0.95,15.38,-5.06,-304.15,,0.07,0.0,0.0,0,TRAIN,8.0
34,0.01,0.05,0.01,0.0,0.59,0.71,346.05,130.2,105.6,25.26,0.73,2.77,3.78,42.77,73.54,12.45,0.66,38.86,40.54,75.38,0.0,0.01,0.0,0.01,0.6,0.75,217.52,70.26,60.62,18.49,0.65,1.84,2.85,53.36,64.9,17.97,0.72,32.23,31.88,77.9,-40.52,-1413.01,-34.16,0.02,0.21,0.3,306.87,43.42,131.68,19.83,0.97,33.81,34.87,23.91,96.95,-29.85,0.36,47.83,38.56,106.59,0,TRAIN,8.0
35,-4.4,-272.56,-9.04,0.28,0.39,0.63,749.24,74.23,722.45,176.81,0.98,60.52,61.9,-4.4,98.38,13.5,0.04,0.0,0.0,0.0,-11.08,-135.63,-15.01,0.41,0.6,0.88,492.92,84.59,444.85,127.07,0.91,11.17,12.24,-11.08,91.83,5.79,0.42,0.0,0.0,0.0,9.46,59.87,21.43,0.4,0.47,0.85,824.24,50.75,686.36,260.72,0.84,5.33,6.33,9.46,84.2,32.69,0.56,0.0,0.0,0.0,0,TRAIN,8.0
36,-2.27,-17.95,-16.8,0.1,0.2,0.63,2704.9,211.9,2202.88,942.31,0.87,6.91,7.92,0.13,87.37,-1.54,0.26,0.0,17.79,436.82,-0.76,-5.76,-9.13,0.01,0.05,0.32,4365.5,59.98,3525.53,957.53,0.87,6.55,7.56,1.83,86.77,0.48,0.18,0.0,31.05,157.4,1.87,11.42,9.3,0.0,0.06,0.36,1809.54,63.35,1410.02,423.02,0.84,5.1,6.1,4.45,83.5,4.21,0.23,0.0,9.1,27.28,0,TRAIN,8.0
37,2.17,12.18,8.34,0.22,0.28,0.93,1405.37,62.88,1036.05,683.38,0.75,4.2,5.62,4.51,82.21,31.33,0.59,0.0,9.04,-19.34,0.97,4.45,2.79,0.3,0.32,1.02,1041.67,13.93,804.74,575.44,0.78,3.57,4.57,4.65,78.11,36.01,1.09,0.0,10.53,-24.52,13.18,33.1,27.69,0.29,0.38,1.36,764.51,39.15,454.98,447.48,0.6,1.51,2.51,17.29,60.17,45.84,2.24,0.0,6.38,-20.71,0,TRAIN,8.0
38,24.18,43.02,9.65,0.66,1.38,1.39,145.66,42.54,62.45,0.74,0.44,0.78,1.78,28.85,43.8,59.04,1.46,0.0,1.87,12.75,-12.75,-19.05,-9.64,0.9,1.68,1.78,275.13,63.3,88.96,9.58,0.33,0.49,1.49,-5.9,33.06,4.65,1.66,0.0,5.18,107.68,0.35,2.34,0.82,0.15,0.18,1.11,854.79,20.46,718.15,669.49,0.85,5.71,6.71,1.96,85.09,4.06,2.62,0.0,3.77,27.53,0,TRAIN,8.0
39,1.07,15.58,0.28,0.07,1.07,1.07,95.69,81.88,87.92,0.0,0.93,13.61,14.61,1.07,93.16,1.14,,0.0,0.0,0.0,-2.49,-107.69,-2.98,0.12,0.67,0.67,434.96,230.57,336.5,,97.68,4216.97,43.17,-2.49,97.68,-2.55,0.07,19.46,0.0,0.0,-9.1,312.39,-70.78,0.11,0.97,0.97,2832.62,2483.65,1672.08,,102.91,-3534.41,-34.34,-9.1,102.91,-8.84,,43.23,0.0,0.0,0,TRAIN,8.0
40,-10.72,144.71,-2365.79,0.16,0.29,0.31,46806.13,10438.95,85133.16,1861.29,1.07,-14.51,-13.51,-5.95,107.4,-9.69,-0.11,0.0,1051.75,-93.45,-5.65,-17.56,-419.46,0.14,0.21,0.46,27021.85,1323.61,18066.68,4536.71,0.68,2.11,3.11,-3.29,67.82,-7.88,0.47,0.0,175.55,-84.99,-0.08,-0.56,-0.85,0.06,0.68,0.87,3873.97,1294.39,2097.73,398.39,85.63,596.07,6.96,1.18,85.63,1.69,0.86,0.0,13.42,61.67,0,TRAIN,8.0
41,1.49,17.68,1.14,0.29,0.41,0.9,279.34,29.04,228.47,112.83,0.83,9.87,11.9,14.99,91.6,2.0,0.34,0.0,10.34,77.59,-1.93,-42.15,-1.32,0.01,0.11,0.83,248.64,20.02,220.55,162.46,0.9,19.63,21.87,13.26,95.43,1.01,0.19,0.0,10.38,75.01,1.29,28.09,1.68,0.09,0.1,0.88,476.58,0.4,449.15,353.25,95.42,2083.47,21.83,16.71,95.42,3.66,0.29,0.01,20.2,67.41,0,TRAIN,8.0
42,-3.01,-7719.33,-3.53,0.29,2.21,2.23,427.72,352.05,183.83,3.71,1.0,2559.66,2560.66,4.62,99.96,-1.99,20.59,0.0,8.95,149.82,5.59,99.42,5.89,0.23,2.19,2.21,383.95,314.59,160.61,3.58,0.94,16.8,17.8,11.02,94.38,7.08,8.17,0.0,5.73,59.86,1.38,17.8,1.07,0.51,2.1,2.1,283.84,171.3,107.86,,0.92,11.91,12.91,7.79,92.26,3.96,3.22,0.0,3.48,37.88,0,TRAIN,8.0
43,3.94,67.99,1.08,0.0,0.44,0.44,100.16,40.66,56.77,,0.94,16.24,17.26,5.07,94.21,16.39,0.12,36.61,0.31,11.35,-31.96,124.56,-15.83,0.01,0.28,0.3,180.27,61.66,145.74,3.24,1.26,-4.9,-3.9,-30.41,125.66,-10.27,-0.42,43.92,0.77,-4.35,11.44,97.55,,0.01,0.49,0.49,143.03,59.61,71.23,0.65,0.88,7.52,8.52,12.18,88.27,34.62,0.21,37.91,0.18,1.74,0,TRAIN,8.0
44,0.38,1.28,0.19,0.25,1.41,1.41,187.28,150.78,130.38,,0.71,2.4,3.4,39.8,70.62,0.53,,0.0,20.23,74.85,0.31,1.15,0.3,0.25,2.96,2.96,351.61,316.62,116.74,,0.73,2.67,3.67,37.49,72.73,0.43,,39.13,35.91,86.72,-61.37,216.39,-85.74,0.07,1.07,1.07,508.49,470.2,472.11,,1.28,-4.53,-3.53,-8.49,128.36,-47.81,,34.45,73.87,-3592.7,0,TRAIN,8.0
45,11.46,12.4,27.49,5.35,6.92,8.08,875.9,103.05,65.68,77.15,0.08,0.08,1.08,11.46,7.6,285.08,2.4,0.0,0.0,0.0,10.52,11.47,25.43,6.05,6.37,7.75,880.15,23.3,72.26,100.83,0.08,0.09,1.09,15.95,8.3,258.77,2.57,0.0,13.14,-51.61,8.44,30.37,8.4,0.92,1.79,2.8,362.4,58.93,67.93,68.25,0.19,0.68,3.6,10.95,18.95,87.25,0.59,0.0,1.8,26.59,0,TRAIN,8.0
46,9.13,9.73,22.45,1.27,15.04,16.17,897.65,117.24,42.15,48.37,0.06,0.06,1.07,16.57,6.21,184.37,4.14,0.0,18.3,37.9,8.23,8.71,21.41,0.91,16.33,17.34,946.51,126.22,41.35,42.06,0.05,0.06,1.06,15.63,5.51,184.02,4.09,0.0,19.24,40.5,8.93,9.57,25.0,0.63,19.38,20.67,1019.36,142.71,36.75,47.28,0.06,0.07,1.07,15.85,6.39,163.93,3.83,0.0,13.9,27.58,0,TRAIN,8.0
47,1.31,9.42,0.39,0.05,0.72,0.72,109.24,59.29,79.78,0.61,0.86,6.22,7.22,7.48,86.14,7.7,0.35,8.01,1.85,43.86,0.74,13.1,0.19,0.08,0.58,0.63,94.71,43.71,87.68,4.6,0.94,16.72,17.72,25.35,94.36,11.13,0.14,0.0,6.4,60.89,11.19,64.18,,0.09,0.67,0.68,60.7,28.1,47.9,0.31,0.83,4.74,5.74,78.83,82.57,38.15,0.41,0.0,8.28,47.24,0,TRAIN,8.0
48,19.79,24.36,17.69,0.58,2.41,2.43,129.64,110.77,60.37,1.12,0.19,0.23,1.23,42.26,18.76,124.57,1.52,0.0,20.09,42.88,32.84,40.65,16.65,3.17,3.61,3.62,184.49,15.5,35.04,0.12,0.19,0.24,1.24,32.84,19.2,228.22,2.68,0.0,0.0,0.0,10.56,12.66,5.17,3.81,4.99,4.99,178.19,34.5,27.59,,16.59,19.89,1.2,10.56,16.59,123.35,4.82,0.94,0.0,0.0,0,TRAIN,8.0
49,-2134.68,100.0,-404.71,0.0,0.04,0.04,69.2,5.42,1525.2,,22.35,-1.05,-0.05,-2134.68,2234.68,-95.53,,0.0,0.0,0.0,280.43,439.77,5.15,,,,6.68,4.19,,,0.36,0.57,1.57,280.43,36.23,774.0,,0.0,0.0,0.0,15.2,78.8,5.52,1.26,1.26,1.26,132.11,0.79,103.43,0.0,0.81,4.18,5.18,15.2,80.71,18.83,,0.0,0.0,0.0,0,TRAIN,8.0
50,5.71,21.72,26.22,0.05,5.87,5.87,1677.33,315.34,54.13,0.02,0.4,1.52,3.81,19.45,73.72,27.14,0.77,0.0,63.16,79.81,0.5,1.86,2.64,0.18,8.15,9.16,1933.82,339.31,42.52,43.17,0.38,1.41,3.74,13.61,73.28,11.85,0.77,0.0,69.67,75.86,-2.27,-8.8,-13.09,0.26,10.05,12.13,2098.04,358.8,36.65,76.24,0.39,1.5,3.88,12.15,38.75,7.6,0.79,0.0,59.41,83.65,0,TRAIN,8.0
