Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
3576,-17.4,-42.02,-9.65,2.0,2.66,2.66,201.87,49.59,75.14,,0.59,1.42,2.42,234.38,58.59,-29.69,,0.0,139.64,174.05,16.05,32.65,6.66,1.42,2.88,2.88,150.99,75.75,51.77,,50.85,103.46,2.03,202.95,50.85,31.56,,0.0,50.81,76.01,21.66,38.55,,0.83,2.99,2.99,169.7,121.14,56.12,,43.82,78.01,1.78,148.05,43.82,49.42,,0.0,40.98,57.27,0,TEST,3.0
3577,-5.29,-8.55,-12.36,0.09,0.32,0.97,850.81,66.3,286.64,189.76,0.35,0.56,1.62,9.12,38.12,20.42,0.94,0.0,33.69,65.38,-23.6,-51.07,-50.57,0.06,0.18,0.4,779.83,45.47,386.89,84.94,0.51,1.1,2.16,-7.02,50.69,-22.2,0.59,0.0,25.84,120.64,-1.4,-3.0,-3.4,0.13,0.23,0.47,884.8,45.83,438.5,103.75,0.51,1.09,2.15,18.3,50.68,12.4,0.62,0.0,35.52,61.28,0,TEST,3.0
3578,1.86,2.66,0.81,1.57,2.88,3.59,157.58,57.27,43.46,30.93,0.3,0.43,1.43,47.08,30.05,6.19,,0.0,19.58,87.67,8.06,23.29,8.31,0.12,1.44,1.55,375.21,314.82,239.37,27.37,0.65,1.89,2.89,28.22,65.4,12.33,,0.0,20.78,61.0,6.44,11.3,4.6,0.42,2.28,2.4,259.83,199.3,106.97,13.02,0.43,0.76,1.76,38.13,43.05,14.95,,0.0,22.62,67.88,0,TEST,3.0
3579,0.24,0.91,0.96,0.02,0.19,1.24,1457.75,74.56,307.1,459.89,0.58,2.22,3.79,13.23,73.63,16.94,0.56,17.52,52.01,232.47,-18.04,-411.47,-91.42,0.06,0.48,0.97,1844.21,333.57,577.38,382.08,0.81,18.37,22.8,-3.67,80.54,-9.91,0.27,16.91,53.41,-89.98,-4.23,-979.01,-23.82,0.42,0.46,1.43,2048.46,17.3,471.72,459.33,0.85,195.71,231.26,10.13,84.63,5.25,0.24,11.54,57.2,-124.65,0,TEST,3.0
3580,0.09,0.18,0.14,0.04,0.33,1.7,564.24,46.35,226.69,331.41,0.48,0.91,1.91,7.48,47.64,3.65,2.14,2.24,11.46,77.67,0.44,0.88,0.35,0.21,0.81,1.72,288.19,52.45,126.47,114.69,0.5,1.0,2.0,8.02,50.08,5.54,2.4,0.0,4.31,49.49,0.44,0.86,0.48,0.08,0.46,1.66,398.88,35.55,152.49,183.16,0.49,0.96,1.96,8.74,48.86,5.89,1.73,0.0,6.48,53.8,0,TEST,3.0
3581,11.99,30.55,3.9,1.33,1.66,1.66,94.71,23.18,70.72,,0.61,1.55,2.55,110.54,60.76,19.73,,0.0,32.07,88.84,1.61,21.51,,0.13,1.08,1.08,83.42,72.62,76.1,,92.51,1234.7,13.35,54.88,92.51,1.74,,0.0,8.98,69.62,3.23,26.36,,0.16,0.34,0.34,55.78,8.89,48.09,,87.74,715.95,8.16,39.01,87.74,7.17,0.18,0.12,4.03,36.12,0,TEST,3.0
3582,19.48,43.88,39.59,1.94,2.09,2.18,739.96,48.2,332.87,33.0,0.45,1.02,2.25,19.48,55.61,42.82,,0.0,0.0,0.0,35.24,63.43,77.25,2.34,2.41,2.44,797.99,23.86,322.05,9.87,0.41,0.73,1.8,36.33,40.81,86.35,,0.0,0.0,0.0,20.42,27.73,25.92,5.23,5.9,5.98,462.0,50.88,76.01,6.65,0.17,0.23,1.36,21.68,16.64,122.77,,0.0,0.0,0.0,0,TEST,3.0
3583,-0.15,-1.79,-1.05,0.32,2.19,3.24,2501.71,855.09,302.57,477.84,0.91,10.76,11.76,35.25,91.47,10.03,0.22,6.18,176.72,-167.1,-4.4,-221.95,-44.73,0.12,1.35,1.69,3700.49,2018.53,565.61,562.67,0.98,49.43,50.44,24.56,98.0,2.93,0.09,29.59,213.18,-114.62,-10.27,-116.36,-163.17,1.56,6.22,9.77,5784.38,1827.27,236.24,1390.63,0.91,10.33,11.33,36.41,91.18,0.67,0.29,2.72,536.96,-205.06,0,TEST,3.0
3584,-3.23,-6.41,-3.59,0.03,0.26,1.39,405.02,29.26,105.64,147.19,0.42,0.83,1.98,26.98,49.62,22.83,1.08,11.84,33.62,144.79,0.89,1.76,1.29,0.02,0.24,1.44,526.73,34.86,131.55,192.02,0.4,0.79,1.97,29.6,40.11,33.8,1.08,9.98,28.39,87.84,-8.09,-17.77,-13.93,0.02,0.14,1.17,626.36,29.33,174.41,243.92,0.46,1.01,2.2,20.7,45.79,10.15,0.96,12.67,34.59,153.66,0,TEST,3.0
3585,13.89,31.49,2.07,0.44,2.46,2.46,54.23,33.29,16.54,,0.56,1.27,2.27,13.89,55.88,33.55,1.82,0.0,0.0,0.0,44.75,76.18,,3.38,6.5,6.5,65.72,29.34,9.43,,0.41,0.7,1.7,156.9,41.25,117.36,10.22,0.0,15.0,47.78,2.9,4.46,0.86,1.34,2.07,2.76,107.67,23.82,32.55,22.35,0.35,0.53,1.53,93.95,34.83,25.19,4.39,0.0,19.9,64.05,0,TEST,3.0
