Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
0,1.89,10.57,5.19,0.6,0.6,0.6,435.66,4.89,628.98,,0.65,3.63,5.58,2.37,82.08,3.44,0.29,0.0,1.31,15.02,23.31,49.86,28.3,0.27,0.28,0.49,442.06,3.12,184.33,39.13,0.53,1.14,2.14,37.13,53.26,48.82,0.59,0.0,12.12,21.5,19.75,37.0,16.13,0.02,0.12,0.38,297.28,9.71,101.75,26.42,0.47,0.87,1.87,32.36,46.63,46.98,0.62,0.0,7.16,22.9,0,TRAIN,3.0
1,-0.64,-1.08,-1.46,0.22,0.25,1.48,825.5,4.69,153.43,230.29,0.23,0.38,1.67,1.17,40.11,46.33,0.9,3.7,4.12,-173.47,0.32,0.65,1.17,0.17,0.24,1.14,1331.6,33.64,483.43,455.06,0.38,0.78,2.02,2.37,38.33,22.14,0.88,1.52,5.58,-61.39,0.62,1.41,1.59,0.21,0.32,1.1,940.74,35.62,265.73,246.25,0.39,0.9,2.28,2.56,39.41,18.98,0.7,5.4,3.99,-128.04,0,TRAIN,3.0
2,-0.26,-676.05,-1.03,0.04,1.81,2.0,1430.27,1156.25,653.45,129.32,1.0,2579.79,2580.79,1.32,99.96,1.11,7.26,0.0,6.22,55.93,1.68,94.09,3.24,0.01,1.75,1.8,702.88,667.93,383.51,20.95,0.98,55.13,56.13,2.93,98.22,2.06,97.34,0.0,2.42,81.83,3.11,62.06,15.22,0.05,1.45,1.45,1784.44,1699.93,1219.51,0.06,0.95,18.99,19.99,3.64,95.0,3.34,616.93,0.0,2.63,15.59,0,TRAIN,3.0
3,-0.63,-75.07,-0.99,-0.57,-0.31,0.58,571.75,81.33,307.71,273.03,0.99,117.59,118.59,5.04,99.16,17.06,0.66,0.0,8.92,-89.47,0.78,50.51,1.08,-0.36,0.08,0.75,502.72,132.33,301.65,203.56,0.98,63.87,64.87,6.35,98.46,20.45,0.72,0.0,7.7,-155.81,0.97,38.02,1.5,-0.39,0.13,0.82,563.86,176.11,337.16,232.71,0.97,38.27,39.27,6.52,97.45,20.12,0.78,0.0,8.59,375.22,0,TRAIN,3.0
4,6.34,7.08,13.76,4.56,6.86,9.75,789.66,63.27,27.5,80.69,0.08,0.08,1.12,23.37,10.49,187.41,1.37,0.0,36.95,59.56,5.51,6.39,9.66,6.75,7.9,9.92,637.8,32.77,28.53,57.69,0.07,0.08,1.16,28.64,7.12,209.58,1.6,0.0,26.23,48.32,12.29,14.26,16.55,3.84,4.59,5.73,490.0,22.31,29.44,33.37,0.09,0.1,1.16,37.01,8.89,249.23,1.35,0.0,23.79,41.01,0,TRAIN,3.0
5,-0.02,-0.37,,0.14,10.42,10.42,,,,,0.01,0.14,19.58,-0.02,94.89,-2.68,0.06,0.0,,0.0,-3.11,-10.14,,0.6,6.09,6.09,2194.16,80.27,52.32,0.04,0.69,2.27,3.27,0.7,69.39,0.94,1.14,0.0,16.46,30.55,0.07,0.34,,3.12,64.22,64.22,2784.03,73.02,25.17,0.02,0.8,3.89,4.89,3.97,79.51,1.56,2.4,36.31,21.38,40.27,0,TRAIN,3.0
6,0.22,0.86,0.94,0.16,2.6,4.82,1537.14,241.67,99.05,222.68,0.74,2.83,3.83,9.98,73.9,13.02,1.36,6.12,41.18,-26.61,2.33,6.99,10.12,0.06,0.94,1.34,1578.28,221.93,252.23,102.6,0.67,2.0,3.0,6.5,66.63,16.78,1.07,3.6,18.07,-7.97,1.92,6.75,11.23,0.1,0.33,0.6,2127.81,282.05,723.91,325.2,0.72,2.52,3.52,5.41,71.55,10.26,0.64,23.35,20.38,-11.59,0,TRAIN,3.0
7,1.47,5.15,2.54,0.01,0.63,1.32,626.06,132.54,23.01,146.86,0.7,2.43,3.49,18.3,71.39,8.65,1.18,61.1,28.94,117.37,0.39,1.52,0.71,0.01,0.24,1.05,660.17,59.08,78.5,206.0,0.73,2.84,3.89,18.89,73.07,5.81,1.02,56.76,22.32,72.93,0.04,0.17,0.08,0.01,0.22,0.92,624.87,52.06,46.12,173.6,0.72,2.69,3.73,16.7,72.14,5.2,0.93,60.3,20.92,104.85,0,TRAIN,3.0
8,26.26,60.84,14.62,0.93,1.83,1.83,202.68,69.06,106.63,0.01,0.57,1.32,2.32,40.96,56.83,47.42,17.95,0.0,8.18,34.5,3.55,7.38,,0.2,1.85,1.89,261.43,162.2,129.82,4.82,0.52,1.08,2.08,21.82,51.94,10.25,9.88,0.0,9.17,46.65,0.76,1.8,,0.0,1.55,1.6,408.98,342.93,200.07,11.51,0.58,1.38,2.38,17.9,57.97,4.29,4.34,6.75,13.29,64.06,0,TRAIN,3.0
9,-9.0,-513.33,-14.12,0.06,0.67,2.19,571.02,79.89,130.02,199.97,0.98,56.03,57.03,-9.0,98.25,-9.16,0.04,0.0,0.0,0.0,0.35,4.14,2.54,0.02,0.17,0.95,2647.56,345.15,2209.16,1712.89,91.57,1086.46,11.86,0.66,91.57,0.56,0.42,0.0,1.62,-59.98,0.19,4.26,0.15,0.56,1.61,1.84,289.58,97.96,92.95,20.62,70.8,1558.7,22.02,8.48,70.8,2.1,0.11,0.0,4.87,3493.19,0,TRAIN,3.0
10,4.08,15.16,13.33,0.0,0.43,0.44,1190.69,202.65,372.88,7.02,0.73,2.72,3.72,12.41,73.12,9.45,0.73,40.52,27.27,45.22,0.75,4.1,1.29,0.05,0.89,0.9,625.87,327.49,209.31,0.94,0.82,4.47,5.47,7.84,81.72,3.06,0.85,46.32,8.57,43.56,-10.32,-62.28,-8.69,1.11,1.43,1.43,306.42,26.25,65.78,0.15,0.83,5.04,6.04,4.62,83.43,-8.99,1.18,57.43,8.8,64.71,0,TRAIN,3.0
11,10.3,10.65,2.24,28.48,30.77,30.77,42.26,5.82,2.55,,0.03,0.03,1.03,15.82,3.25,317.02,,0.0,1.2,27.5,17.49,18.93,10.82,13.09,13.09,13.09,225.25,,17.02,,0.08,0.08,1.08,21.14,7.64,228.9,,0.0,2.26,12.76,16.97,18.01,11.12,17.23,17.32,17.32,238.55,1.19,13.62,,0.06,0.06,1.06,29.22,5.78,293.8,,0.0,8.03,34.59,0,TRAIN,3.0
12,-4.01,-4.81,-5.25,0.32,3.03,5.91,476.72,213.15,78.6,229.49,0.17,0.2,1.2,-4.01,16.68,-17.66,59.33,0.0,0.0,0.0,-22.86,-30.32,,1.52,2.59,4.05,629.96,163.94,153.22,223.9,24.6,32.63,1.33,-22.86,24.6,-87.84,184.44,0.0,0.0,0.0,3.05,3.98,,1.82,2.92,4.28,514.14,130.58,118.75,162.01,23.36,30.49,1.3,3.05,23.36,14.77,,0.0,0.0,0.0,0,TRAIN,3.0
13,-32.57,166.31,-232.63,0.43,0.57,0.57,2599.42,432.0,3074.4,,1.2,-6.11,-5.11,-32.57,119.59,-1.1,-0.63,0.0,0.0,0.0,21.46,147.18,18.06,0.9,1.17,1.17,306.31,70.74,258.78,0.22,0.85,5.86,6.86,21.46,85.42,37.96,,0.0,0.0,0.0,12.35,57.15,15.12,1.14,1.28,1.28,445.51,45.21,345.38,0.22,0.78,3.63,4.63,12.35,78.39,15.76,,0.0,0.0,0.0,0,TRAIN,3.0
14,2.62,2.65,0.31,70.37,70.37,107.41,43.7,,0.4,15.11,0.01,0.01,1.01,2.62,0.93,281.48,,0.0,0.0,0.0,6.42,7.41,0.85,5.38,7.46,7.46,48.12,13.28,6.38,,0.13,0.15,1.15,6.42,13.4,47.92,,0.0,0.0,0.0,17.85,20.06,3.56,7.0,9.09,9.09,72.65,16.47,7.91,,0.11,0.12,1.12,17.85,11.01,162.19,,0.0,0.0,0.0,0,TRAIN,3.0
15,21.69,21.88,9.61,112.67,113.06,113.06,161.23,0.49,1.25,,0.01,0.01,1.01,21.69,0.87,2663.33,8.67,0.0,0.0,0.0,34.53,60.43,11.06,1.44,1.53,1.77,116.59,4.41,32.82,12.05,0.43,0.75,1.75,34.53,42.86,97.81,2.39,14.39,0.0,0.0,13.55,16.48,8.17,9.04,11.92,14.33,219.35,29.56,10.27,24.8,0.18,0.22,1.22,13.55,17.77,143.63,2.96,13.04,0.0,0.0,0,TRAIN,3.0
16,38.47,44.24,51.85,7.66,7.66,7.66,490.7,,63.33,,0.13,0.15,1.15,55.9,13.05,294.77,,0.0,23.51,25.53,47.21,55.62,41.63,6.61,6.61,6.61,321.02,,48.03,,15.13,17.83,1.18,68.74,15.13,312.05,,0.0,18.99,26.0,41.89,47.5,46.28,8.46,8.46,8.46,402.17,,46.99,,11.81,13.4,1.13,65.67,11.81,354.55,,0.0,26.27,30.29,0,TRAIN,3.0
17,-2.88,-15.77,-2.21,0.0,0.12,0.67,279.18,29.43,183.42,99.87,0.82,4.47,5.47,26.69,81.73,17.47,0.59,0.0,16.32,104.69,1.92,11.48,1.73,0.39,0.51,1.25,328.05,25.23,157.44,115.67,0.83,4.99,5.99,27.7,83.3,17.16,1.29,23.44,16.72,103.47,6.48,28.8,5.84,0.33,0.54,1.49,327.97,27.98,144.12,138.03,0.78,3.45,4.45,31.39,77.52,20.13,1.64,22.47,16.13,85.83,0,TRAIN,3.0
18,3.35,4.25,16.1,2.38,3.31,3.93,1748.88,221.36,237.97,150.54,0.15,0.19,1.27,20.22,21.17,127.44,1.75,0.0,81.07,1416.41,6.24,7.61,39.44,3.3,4.19,4.84,2301.71,236.16,264.21,172.68,0.13,0.15,1.22,22.92,12.51,154.68,1.9,0.0,77.58,6795.67,7.59,10.12,44.96,1.36,4.25,4.84,2156.95,677.48,234.41,138.14,0.21,0.28,1.33,23.55,21.11,92.25,1.82,0.0,69.43,234.11,0,TRAIN,3.0
19,0.47,0.52,2.64,6.93,9.46,15.75,2036.36,160.58,64.19,409.48,0.04,0.05,1.1,12.27,8.97,303.01,1.84,0.0,66.0,212.46,2.27,2.48,8.69,8.85,9.81,13.9,1390.07,52.51,54.49,222.92,0.05,0.05,1.09,13.98,4.99,291.38,2.06,0.0,31.27,123.11,0.08,0.08,0.3,10.89,11.21,15.41,1423.4,17.69,56.14,236.18,0.05,0.05,1.08,15.14,5.0,224.44,2.42,0.0,42.14,133.07,0,TRAIN,3.0
20,10.96,30.14,14.76,0.23,0.26,0.5,490.16,8.27,306.46,75.97,0.64,1.75,2.75,18.37,63.63,29.93,0.54,0.0,9.98,23.43,12.09,26.44,24.68,0.25,0.31,0.73,743.34,25.43,396.06,165.79,0.54,1.19,2.19,19.2,54.29,35.85,0.76,0.0,10.2,17.29,20.55,22.71,13.55,4.4,4.61,4.9,239.96,3.12,14.61,4.21,0.1,0.11,1.11,30.92,9.52,299.87,1.34,0.0,4.95,9.07,0,TRAIN,3.0
21,-0.69,-1.87,-1.06,0.0,0.19,0.79,557.31,34.14,80.15,110.09,0.6,1.62,2.69,11.68,62.8,23.13,0.87,29.6,18.95,94.48,-0.63,-1.95,-1.32,0.0,0.18,0.83,756.06,50.73,181.03,181.31,0.67,2.06,3.08,10.46,66.89,16.23,0.86,23.06,16.36,115.59,0.45,1.44,0.82,0.0,0.28,0.69,664.39,65.07,151.68,95.01,0.64,2.06,3.21,10.81,64.09,14.26,0.75,18.63,13.47,78.77,0,TRAIN,3.0
22,-0.55,-2.97,-0.58,0.28,1.18,1.18,233.2,179.62,199.42,,0.81,4.35,5.35,2.98,81.31,3.04,1.26,0.0,3.68,45.53,-66.14,133.25,-65.53,-0.2,0.01,0.01,360.61,66.35,311.14,,1.5,-3.01,-2.01,-52.18,149.64,-35.86,0.13,0.0,13.84,-60.12,-58.45,52.07,-87.86,-0.09,0.01,0.01,547.19,93.44,877.2,,2.12,-1.89,-0.89,-55.96,212.23,-23.04,-0.63,0.0,3.74,-9.73,0,TRAIN,3.0
23,8.35,8.95,41.16,14.82,14.91,14.91,1793.66,11.54,118.94,,0.07,0.07,1.07,8.35,6.7,124.58,,0.0,0.0,0.0,26.34,29.63,,8.54,9.03,9.03,1028.72,55.09,112.71,,0.11,0.12,1.12,26.34,11.08,237.81,,0.0,0.0,0.0,20.01,22.88,,7.92,7.98,7.98,1348.72,10.58,167.06,,0.13,0.14,1.14,20.01,12.52,159.77,,0.0,0.0,0.0,0,TRAIN,3.0
24,-12.89,-58.2,-8.0,0.83,1.1,1.13,226.0,38.46,144.84,4.34,0.78,3.51,4.51,-1.98,77.85,-10.09,3.44,0.0,6.77,-30.87,0.26,2.31,0.16,0.14,0.58,0.67,230.56,83.04,187.49,15.43,0.89,7.88,8.88,14.66,88.74,1.59,0.39,0.0,9.12,308.0,-6.1,-15.81,-6.09,0.88,2.13,3.62,363.3,121.89,97.04,143.82,0.61,1.59,2.59,10.37,61.41,-8.35,31.06,0.0,16.44,849.09,0,TRAIN,3.0
25,0.63,56.26,0.05,0.38,0.8,0.8,26.57,,25.99,,0.99,88.53,89.53,0.63,98.88,3.71,0.05,0.0,0.0,0.0,23.52,85.99,0.92,0.66,0.66,0.66,14.27,,10.25,,0.73,2.66,3.66,23.52,72.65,61.07,0.52,0.0,0.0,0.0,6.27,66.44,1.02,0.29,1.01,1.01,59.5,,53.3,,0.91,9.6,10.6,6.27,90.57,7.12,1.09,0.0,0.0,0.0,0,TRAIN,3.0
26,6.82,40.97,1.63,0.29,1.2,1.2,87.11,65.11,71.81,,0.83,5.0,6.0,6.82,83.34,8.19,,0.0,0.0,0.0,-79.71,-107.52,-2.48,3.56,3.87,3.87,11.33,0.88,2.9,,0.26,0.35,1.35,-79.71,25.86,-308.22,,0.0,0.0,0.0,0.63,5.82,0.08,0.15,0.79,0.79,49.21,19.37,30.32,,0.89,8.28,9.28,0.63,89.23,4.49,0.74,0.0,0.0,0.0,0,TRAIN,3.0
27,-1.28,-1.55,-2.32,0.99,2.42,6.84,660.03,58.2,40.96,183.67,0.12,0.15,1.21,21.31,17.57,73.94,1.58,0.0,40.95,104.36,-2.48,-3.45,-4.35,0.91,1.82,5.83,637.28,41.74,47.59,191.04,0.24,0.33,1.39,20.45,23.58,30.75,1.58,1.17,28.38,75.01,-5.27,-7.58,-8.8,0.88,1.85,5.04,608.0,47.99,51.45,164.39,0.25,0.36,1.44,19.47,24.8,13.08,1.49,0.0,29.5,99.91,0,TRAIN,3.0
28,0.79,1.53,0.97,0.01,0.99,2.04,447.25,90.11,77.32,100.92,0.42,0.82,1.93,27.56,48.25,38.06,1.27,5.81,32.9,98.26,2.71,4.86,3.28,0.1,0.86,1.62,439.87,34.87,100.19,83.22,0.38,0.69,1.79,30.89,38.34,44.11,1.14,5.31,24.12,70.18,3.44,5.78,4.56,0.01,0.98,1.76,482.38,46.02,93.32,82.12,0.35,0.58,1.68,32.19,34.8,44.51,1.16,5.26,27.0,74.35,0,TRAIN,3.0
29,56.18,59.59,5.93,15.4,15.42,15.42,38.45,0.03,2.15,,0.06,0.06,1.06,70.36,5.72,982.81,7.28,0.0,1.5,18.86,18.74,25.31,3.21,3.04,3.64,3.64,62.39,9.53,15.97,,0.26,0.35,1.35,25.86,25.96,134.76,12.85,0.0,1.22,13.02,-30.48,707.57,-10.58,0.56,0.95,0.95,126.35,51.95,130.3,,1.04,-24.21,-23.21,-28.04,104.31,-27.77,-8.08,0.0,0.85,-11.09,0,TRAIN,3.0
30,2.56,5.78,2.49,0.36,1.3,1.52,354.51,183.39,194.52,42.5,0.56,1.26,2.26,9.02,55.76,13.41,2.86,0.0,6.29,40.54,15.22,31.23,14.74,0.17,1.47,1.76,352.74,232.05,177.82,51.19,0.51,1.05,2.05,18.7,51.04,39.05,5.48,0.0,2.5,8.76,9.54,23.22,11.39,0.27,0.94,1.45,434.76,169.92,253.13,130.56,0.59,1.43,2.43,13.37,58.92,21.28,9.56,0.0,3.43,13.56,0,TRAIN,3.0
31,-1.8,-17.44,-5.36,0.13,0.25,0.52,1081.61,100.95,629.26,213.45,0.84,8.12,9.66,4.74,89.65,5.62,0.2,15.51,19.46,4618.44,0.37,4.57,0.91,0.05,0.48,0.66,891.28,274.06,566.95,110.1,80.35,985.94,12.27,6.1,80.35,8.15,0.17,7.51,9.87,94.51,0.32,4.28,0.57,0.01,0.46,0.63,648.12,189.62,388.45,68.61,77.19,1023.87,13.26,5.04,77.19,8.37,0.14,4.27,5.73,36.64,0,TRAIN,3.0
32,8.02,20.99,2.16,4.17,4.17,4.17,97.79,,11.58,,0.62,1.62,2.62,110.32,61.77,88.98,0.81,0.0,27.48,59.82,37.64,52.01,11.46,1.31,4.49,4.49,110.8,32.4,24.43,,0.28,0.38,1.38,107.63,27.62,290.71,,0.0,21.3,40.26,53.81,64.54,32.85,0.74,1.79,1.79,222.18,16.45,32.6,,0.17,0.2,1.2,88.57,16.62,353.2,1.14,0.0,21.22,31.72,0,TRAIN,3.0
33,3.07,29.09,20.19,1.53,1.6,1.6,2391.8,10.8,163.77,0.0,0.89,8.47,9.47,3.07,89.44,9.18,1.05,71.07,0.0,0.0,4.08,33.09,22.76,3.99,4.33,4.33,2030.04,12.01,35.57,,0.88,7.11,8.11,4.08,87.67,11.11,1.06,71.88,0.0,0.0,6.49,42.92,32.12,6.19,6.65,6.65,1800.18,11.52,24.84,,0.85,5.61,6.61,6.49,84.87,14.63,1.09,68.9,0.0,0.0,0,TRAIN,3.0
34,-10.42,-13.75,-17.22,0.09,0.47,4.09,601.66,34.47,91.49,336.08,0.23,0.3,1.32,28.99,24.27,5.96,2.11,0.0,65.13,313.5,-13.82,-20.66,-21.47,0.14,0.45,3.44,565.5,31.63,100.39,299.53,0.32,0.48,1.5,24.67,31.78,-3.02,1.96,7.53,43.0,609.56,-8.17,-12.89,-15.33,0.01,0.21,2.98,683.03,30.47,155.35,431.47,0.37,0.58,1.58,32.4,36.64,12.94,2.25,0.0,54.52,324.8,0,TRAIN,3.0
35,70.96,96.5,63.12,3.39,3.78,3.78,323.78,32.59,84.75,,0.26,0.36,1.36,70.96,26.47,268.14,,0.0,0.0,0.0,-5.59,-5.61,-66.19,6.21,351.57,351.57,4307.88,3980.24,11.52,,0.27,0.27,1.0,-5.59,0.27,-1463.96,20.36,0.0,0.0,0.0,33.04,33.21,68.42,20.3,188.26,188.26,753.78,650.63,3.87,,0.52,0.52,1.01,33.04,0.52,6567.28,45.72,0.0,0.0,0.0,0,TRAIN,3.0
36,-0.64,-0.8,-2.43,4.12,4.66,9.22,1369.92,22.25,41.59,192.32,0.1,0.13,1.25,9.52,19.84,71.46,1.21,0.0,38.24,167.41,0.36,0.48,1.45,1.11,1.9,3.24,1458.5,121.24,155.05,208.85,0.17,0.23,1.33,10.54,17.05,40.49,1.24,0.0,29.01,117.95,-2.88,-3.81,-11.83,3.55,4.4,8.89,1494.24,39.25,46.41,208.42,0.1,0.13,1.32,7.62,9.59,42.93,1.13,0.0,30.87,183.5,0,TRAIN,3.0
37,4.64,5.89,5.98,0.13,2.36,5.07,469.48,96.32,41.38,118.64,0.18,0.23,1.27,23.46,21.18,83.31,1.67,4.38,24.28,78.93,0.62,0.81,1.17,-0.33,0.56,4.86,686.46,58.42,57.12,282.99,0.21,0.27,1.31,20.96,20.77,51.83,1.66,3.87,27.76,68.31,1.44,1.83,1.65,0.63,3.67,7.54,416.55,74.34,24.46,94.58,0.19,0.24,1.27,23.2,18.89,59.8,1.65,0.0,18.24,69.61,0,TRAIN,3.0
38,3.15,13.94,3.3,0.0,0.81,0.88,380.97,211.2,239.96,17.88,0.77,3.43,4.43,3.17,77.41,7.31,0.78,9.85,0.02,0.26,4.71,25.54,2.64,0.01,0.95,0.95,204.14,75.12,105.0,0.46,0.82,4.42,5.42,4.83,81.55,10.53,0.7,18.35,0.05,0.78,11.87,60.56,,0.15,0.91,0.92,245.88,91.5,164.85,0.46,0.8,4.1,5.1,11.99,80.41,20.77,0.6,0.19,0.07,0.73,0,TRAIN,3.0
39,0.79,1.2,1.4,0.69,0.93,2.13,643.68,27.86,104.29,138.3,0.32,0.49,1.52,16.9,34.23,39.1,1.3,4.66,28.49,106.77,0.39,0.64,0.71,0.25,0.55,1.67,653.82,39.54,120.45,144.13,0.38,0.61,1.63,12.8,37.69,34.81,1.18,6.57,16.14,67.17,-7.16,-13.75,-14.59,0.29,0.61,1.55,741.85,52.78,127.02,156.35,0.45,0.87,1.92,5.17,45.27,15.38,1.15,17.87,18.07,110.35,0,TRAIN,3.0
40,-0.25,-0.48,-0.28,1.35,2.31,2.5,406.16,58.5,70.62,13.45,0.49,0.95,1.95,16.7,48.84,13.99,1.47,27.81,18.92,69.49,6.3,13.38,,0.05,1.29,1.58,242.49,95.52,80.8,23.33,0.53,1.12,2.12,24.61,52.89,23.81,1.41,18.43,8.39,40.82,1.91,4.44,,0.19,1.17,1.39,290.61,114.96,122.89,27.17,0.57,1.33,2.33,15.63,56.99,13.27,1.41,12.81,7.75,54.41,0,TRAIN,3.0
41,18.85,25.12,3.16,0.64,3.5,4.0,60.93,19.25,15.04,7.73,0.25,0.33,1.33,23.81,24.96,75.53,,0.0,0.83,16.05,1.47,35.72,2.68,0.14,0.72,1.04,664.57,14.26,622.57,198.72,0.96,23.35,24.35,1.83,95.89,1.66,3.97,0.0,0.48,10.46,7.01,10.18,2.43,0.24,2.34,2.83,126.23,79.14,37.65,18.38,0.31,0.45,1.45,10.08,31.16,40.02,4.73,0.0,0.79,10.36,0,TRAIN,3.0
42,0.98,2.09,1.63,0.21,1.37,1.37,506.08,371.75,318.69,,0.53,1.14,2.14,0.98,53.18,10.52,1.74,0.0,0.0,0.0,-30.69,-121.38,,0.04,1.03,1.03,,,,,0.75,2.96,3.96,-30.69,74.72,-28.43,1.11,0.0,,,12.66,57.01,59.13,0.68,0.69,0.69,1699.88,14.88,1307.76,,0.78,3.5,4.5,12.66,77.79,17.56,0.48,0.0,0.0,0.0,0,TRAIN,3.0
43,5.66,10.2,7.36,0.57,1.69,1.8,473.44,73.27,179.82,19.57,0.39,0.7,1.8,15.73,44.49,15.3,1.82,0.0,13.1,52.88,3.59,10.75,,0.17,1.2,1.27,268.21,79.31,164.3,11.43,0.67,1.99,3.0,23.02,66.57,5.88,1.58,0.0,10.39,59.47,1.02,3.16,,0.85,1.48,1.48,282.76,90.71,177.18,0.99,0.68,2.09,3.09,17.16,67.62,1.67,5.79,0.0,9.07,56.0,0,TRAIN,3.0
44,10.25,10.57,20.99,21.97,32.59,32.59,467.01,240.21,22.63,0.0,0.03,0.03,1.03,10.25,3.07,333.9,,0.0,0.0,0.0,-0.44,-9.48,-1.23,0.2,0.22,1.05,1029.05,17.22,970.95,808.4,0.95,20.75,21.75,-0.44,95.4,-0.46,,0.0,0.0,0.0,-14.12,161.52,-2.7,0.2,0.92,0.92,69.7,53.87,74.96,,1.09,-12.44,-11.44,-14.12,108.74,-12.98,,0.0,0.0,0.0,0,TRAIN,3.0
45,0.08,1.02,0.36,0.0,0.16,0.69,1606.77,102.73,446.93,344.05,0.79,9.89,12.44,17.08,91.96,10.03,0.65,41.62,75.02,243.85,0.02,0.28,0.1,0.0,0.14,0.73,1576.79,88.04,365.45,372.64,79.68,962.73,12.08,17.79,79.68,8.19,0.68,51.48,55.32,279.17,0.05,0.65,0.27,0.0,0.17,0.78,1789.53,121.45,421.47,431.9,79.98,950.85,11.89,18.83,79.98,7.59,0.7,50.72,66.78,380.44,0,TRAIN,3.0
46,0.4,0.4,0.57,5006.0,5006.0,5006.0,522.71,,0.1,,0.0,0.0,1.0,0.4,0.02,2000.0,,0.0,0.0,0.0,9.92,10.77,131.3,12.64,12.64,12.64,4819.83,,377.22,,7.91,8.59,1.09,9.92,7.91,125.31,,0.0,0.0,0.0,22.29,23.74,14.0,16.33,16.33,16.33,228.64,,13.85,,6.12,6.52,1.07,22.29,6.12,363.96,,0.0,0.0,0.0,0,TRAIN,3.0
47,-5.58,-27.6,-21.52,0.0,0.23,0.93,1403.65,105.32,129.48,321.67,0.68,3.34,4.95,-0.49,79.78,2.79,0.79,26.01,19.63,-796.94,0.34,1.49,0.63,0.0,0.64,1.11,680.73,112.88,80.18,81.69,0.66,2.92,4.42,6.2,66.0,12.82,0.88,17.67,7.77,87.68,-3.92,-21.93,-9.16,0.0,0.6,0.97,850.94,177.88,176.76,109.31,0.73,4.07,5.59,1.85,72.81,4.05,0.84,18.55,9.43,237.02,0,TRAIN,3.0
48,1.48,3.24,1.41,0.12,0.18,1.08,346.67,10.27,147.6,154.05,0.54,1.18,2.18,35.57,54.19,24.04,1.04,6.39,32.46,148.41,-10.28,-26.33,-9.86,0.12,0.16,0.97,349.41,7.74,186.36,161.43,0.61,1.56,2.56,28.0,60.97,-6.96,0.93,3.41,26.89,765.72,6.32,12.52,4.51,0.2,0.31,1.13,259.82,13.64,117.06,99.42,0.5,0.98,1.98,45.15,49.5,23.54,1.1,1.69,20.31,149.3,0,TRAIN,3.0
49,0.5,1.89,2.03,0.06,0.39,0.69,1482.07,247.1,677.9,226.83,0.52,1.96,3.79,11.86,73.6,19.34,0.41,5.16,46.24,-65.13,0.25,1.0,1.27,0.08,0.43,0.83,1831.56,346.99,929.28,387.64,0.55,2.18,3.96,10.89,54.98,17.68,0.46,3.06,39.27,-45.27,0.27,0.87,1.03,0.06,0.48,0.85,1414.34,274.98,567.08,245.19,0.47,1.56,3.28,13.87,47.48,18.22,0.51,6.24,38.74,-42.31,0,TRAIN,3.0
50,-1.11,-5.3,-2.12,0.04,0.13,0.13,697.16,52.24,545.2,,0.79,3.78,4.78,-1.11,79.07,16.76,0.23,0.0,0.0,0.0,4.08,14.51,3.69,0.65,1.37,1.37,328.8,30.07,41.62,,0.72,2.55,3.55,4.08,71.84,49.69,1.06,0.0,0.0,0.0,19.14,26.2,5.09,1.01,3.0,3.0,96.87,25.4,12.8,,0.27,0.37,1.37,20.88,26.94,232.42,1.44,0.0,0.46,1.96,0,TRAIN,3.0
51,-1.04,80.18,-2.8,0.75,1.19,1.72,982.58,54.86,77.52,64.64,0.97,-75.19,-77.35,3.91,101.29,19.5,0.66,4.58,13.36,-66.13,8.52,86.03,15.98,0.28,0.54,0.96,682.36,49.37,143.49,78.89,0.9,9.09,10.09,15.21,90.09,42.69,0.45,6.8,8.5,43.11,-7.24,-17.12,-12.9,0.34,0.7,1.17,649.1,67.79,159.58,89.1,0.58,1.37,2.37,0.47,57.73,47.14,0.97,4.72,9.98,35.26,0,TRAIN,3.0
52,-36.48,90.82,-14.27,-0.13,0.14,0.15,142.4,48.58,179.31,1.56,1.4,-3.49,-2.49,6.75,140.17,-14.8,-0.41,9.22,16.91,218.99,0.46,0.87,,-0.23,0.89,0.92,167.26,65.99,59.03,1.69,0.47,0.89,1.89,45.79,47.07,28.28,0.96,5.98,15.48,54.89,2.38,4.31,,0.05,0.97,0.97,136.08,38.74,42.06,,0.45,0.81,1.81,56.99,44.84,15.63,0.97,7.49,15.14,58.56,0,TRAIN,3.0
