0,agriculture,13,1,True
1,agriculture,13,2,False
2,agriculture,13,3,False
3,agriculture,13,4,False
4,agriculture,13,5,False
5,agriculture,13,6,False
6,agriculture,13,7,False
7,agriculture,13,8,False
8,agriculture,13,9,False
9,agriculture,13,10,False
10,agriculture,13,11,False
11,agriculture,13,12,False
12,agriculture,13,13,False
13,agriculture,13,14,False
14,agriculture,13,15,False
15,agriculture,13,16,False
16,agriculture,13,17,False
17,agriculture,13,18,False
18,agriculture,13,19,False
19,agriculture,13,20,False
20,agriculture,14,1,False
21,agriculture,14,2,False
22,agriculture,14,3,False
23,agriculture,14,4,False
24,agriculture,14,5,False
25,agriculture,14,6,False
26,agriculture,14,7,False
27,agriculture,14,8,False
28,agriculture,14,9,False
29,agriculture,14,10,False
30,agriculture,14,11,False
31,agriculture,14,12,False
32,agriculture,14,13,False
33,agriculture,14,14,False
34,agriculture,14,15,False
35,agriculture,14,16,False
36,agriculture,14,17,False
37,agriculture,14,18,False
38,agriculture,14,19,False
39,agriculture,14,20,False
40,agriculture,15,1,False
41,agriculture,15,2,False
42,agriculture,15,3,False
43,agriculture,15,4,False
44,agriculture,15,5,False
45,agriculture,15,6,False
46,agriculture,15,7,False
47,agriculture,15,8,False
48,agriculture,15,9,False
49,agriculture,15,10,False
50,agriculture,15,11,False
51,agriculture,15,12,False
52,agriculture,15,13,False
53,agriculture,15,14,False
54,agriculture,15,15,False
55,agriculture,15,16,False
56,agriculture,15,17,False
57,agriculture,15,18,False
58,agriculture,15,19,False
59,agriculture,15,20,False
60,agriculture,16,1,False
61,agriculture,16,2,False
62,agriculture,16,3,False
63,agriculture,16,4,False
64,agriculture,16,5,False
65,agriculture,16,6,False
66,agriculture,16,7,False
67,agriculture,16,8,False
68,agriculture,16,9,False
69,agriculture,16,10,False
70,agriculture,16,11,False
71,agriculture,16,12,False
72,agriculture,16,13,False
73,agriculture,16,14,False
74,agriculture,16,15,False
75,agriculture,16,16,False
76,agriculture,16,17,False
77,agriculture,16,18,False
78,agriculture,16,19,False
79,agriculture,16,20,False
