Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
0,0.2,7.84,0.04,0.07,0.73,0.77,75.43,43.51,66.16,2.33,0.98,39.2,40.2,59.22,97.51,11.37,0.32,0.01,12.33,80.98,-3.48,578.7,-1.31,0.03,0.78,0.82,137.1,92.03,123.4,4.84,1.01,-167.31,-166.31,40.68,100.6,8.44,0.18,0.0,16.58,79.54,2.08,120.7,0.73,0.1,0.94,0.98,127.27,97.44,116.56,4.75,0.98,57.12,58.12,44.75,98.28,10.79,0.31,0.0,14.92,75.69,0,TRAIN,0.0
1,3.08,4.97,5.95,0.4,1.41,2.58,704.41,69.52,43.38,83.93,0.23,0.38,1.61,15.93,38.05,56.52,1.84,9.44,24.88,66.85,0.96,1.42,1.78,0.26,1.04,3.16,681.44,32.51,42.98,92.33,0.18,0.26,1.48,14.09,32.61,61.92,0.98,4.86,24.51,70.89,1.47,2.11,1.87,0.0,0.69,2.33,462.08,29.93,39.3,73.25,0.16,0.22,1.43,16.44,30.17,73.74,0.97,1.07,19.01,75.15,0,TRAIN,0.0
2,4.69,117.88,13.48,0.05,0.33,0.73,1046.24,181.1,654.57,267.83,0.84,21.21,25.13,4.69,96.02,12.3,0.47,21.12,0.0,0.0,9.86,76.25,17.85,0.03,0.09,0.46,660.8,23.09,340.63,157.96,0.81,6.24,7.73,15.78,87.07,29.07,0.41,16.13,10.71,78.32,-17.45,187.03,-71.65,0.19,0.24,0.41,1494.87,60.24,795.57,180.71,1.07,-11.44,-10.72,-11.59,109.33,-2.97,0.38,18.18,24.05,-41.75,0,TRAIN,0.0
3,1.88,3.43,4.88,0.01,0.22,0.77,945.32,59.84,195.88,155.24,0.36,0.66,1.82,13.84,45.2,48.6,0.79,9.54,31.05,94.47,0.6,1.06,1.49,0.01,0.21,0.76,905.57,51.16,158.07,143.9,0.37,0.66,1.77,13.14,43.4,38.43,0.82,16.06,31.12,93.43,1.48,2.25,3.14,0.01,0.22,0.76,772.96,43.27,109.83,111.24,0.3,0.46,1.53,16.05,34.45,50.91,0.86,12.66,30.96,114.0,0,TRAIN,0.0
4,0.53,2.26,0.6,0.13,0.15,0.97,414.23,5.48,314.17,262.26,0.77,3.29,4.29,110.96,76.69,1.78,0.92,0.0,125.67,348.39,0.28,1.55,0.66,0.19,0.2,1.28,865.9,7.39,564.74,615.22,0.82,4.58,5.58,67.41,82.07,4.54,1.14,0.0,159.25,683.61,0.21,0.99,0.33,0.01,0.07,1.32,577.03,21.4,361.05,456.02,0.79,3.78,4.78,62.19,79.06,2.2,1.26,0.0,98.25,2484.17,0,TRAIN,0.0
5,0.35,1.37,1.03,0.0,0.19,0.77,1082.64,81.05,348.06,245.99,0.55,2.18,3.94,13.98,74.59,27.34,0.52,12.76,40.55,285.2,0.07,0.28,0.15,0.13,0.31,0.79,749.65,62.14,234.67,165.49,0.57,2.16,3.82,14.04,73.84,21.74,0.52,18.71,28.68,368.27,0.03,0.09,0.05,0.01,0.18,0.76,656.26,44.43,218.48,147.78,0.47,1.41,3.02,18.2,66.92,25.34,0.53,7.83,32.76,496.44,0,TRAIN,0.0
6,3.63,13.41,6.5,0.12,0.35,0.35,652.29,111.09,470.54,0.0,0.73,2.7,3.7,3.63,72.94,38.49,0.38,0.0,0.0,0.0,-62.02,392.14,-297.17,0.11,0.13,0.13,1748.98,26.3,1997.84,,1.16,-7.32,-6.32,-62.02,115.82,-17.51,-0.2,0.0,0.0,0.0,-7.56,59.21,-10.49,0.41,0.7,0.76,504.88,161.53,563.08,34.1,1.13,-8.83,-7.83,-7.56,112.77,5.49,-1.01,0.0,0.0,0.0,0,TRAIN,0.0
7,5.94,9.83,0.28,0.99,1.15,1.15,17.25,1.09,0.78,,0.4,0.66,1.66,5.94,39.58,60.67,1.11,35.03,0.0,0.0,2.23,12.43,0.37,1.09,1.1,1.1,61.05,0.62,47.08,,0.82,4.57,5.57,2.23,82.04,8.46,1.91,3.87,0.0,0.0,3.41,11.57,0.44,0.47,0.5,0.5,46.83,0.9,32.68,,0.71,2.4,3.4,3.41,70.56,29.73,0.45,0.0,0.0,0.0,0,TRAIN,0.0
8,-23.51,-407.56,-20.97,0.04,0.22,0.3,324.6,49.39,270.68,23.8,0.94,16.33,17.33,19.53,94.23,-21.43,0.19,8.92,38.39,161.99,-28.97,117.55,-38.35,0.1,0.14,0.18,483.16,19.99,580.13,23.58,1.25,-5.06,-4.06,6.49,124.65,-21.93,-0.29,1.63,46.94,354.05,34.1,185.92,20.26,0.29,0.56,0.62,216.27,45.51,172.57,10.91,0.82,4.45,5.45,48.88,81.66,42.01,0.38,0.0,8.78,29.56,0,TRAIN,0.0
9,-45.16,-84.35,-704.39,0.28,6.44,6.44,5678.04,534.14,98.35,0.0,0.46,0.87,1.87,-19.96,46.47,-97.18,1.11,0.0,392.98,-127.95,-30.89,127.11,-16.37,0.19,0.5,0.69,193.47,,209.85,40.68,1.24,-5.12,-4.12,-26.69,124.3,-19.62,-0.42,11.21,2.23,-23.12,13.09,18.21,9.63,0.48,1.37,3.5,267.71,0.01,61.21,132.3,0.28,0.39,1.39,30.7,28.11,68.15,4.08,4.99,12.95,103.57,0,TRAIN,0.0
