Seq_Number,ROA_0,ROE_0,ROS_0,L1_0,L2_0,L3_0,DOA_0,DOKP_0,DOKZ_0,DOZ_0,CZ_0,ZVI_0,FP_0,NI_0,KCZ_0,FKCZ_0,KSA_0,ZVB_0,MT_0,MPH_0,ROA_1,ROE_1,ROS_1,L1_1,L2_1,L3_1,DOA_1,DOKP_1,DOKZ_1,DOZ_1,CZ_1,ZVI_1,FP_1,NI_1,KCZ_1,FKCZ_1,KSA_1,ZVB_1,MT_1,MPH_1,ROA_2,ROE_2,ROS_2,L1_2,L2_2,L3_2,DOA_2,DOKP_2,DOKZ_2,DOZ_2,CZ_2,ZVI_2,FP_2,NI_2,KCZ_2,FKCZ_2,KSA_2,ZVB_2,MT_2,MPH_2,IS_BANKRUPT,TYPE,RUN
10,3.1,15.43,0.83,0.32,0.74,0.74,97.09,30.03,72.25,0.23,0.8,3.96,4.97,136.3,79.88,30.27,0.57,0.0,35.53,79.21,2.15,13.15,1.1,0.17,0.93,0.95,187.8,99.7,131.54,2.44,0.84,5.13,6.13,65.6,83.68,23.65,0.93,0.0,32.65,70.57,-6.57,-72.81,-2.72,0.17,0.75,0.77,150.81,75.38,129.17,2.73,0.91,10.09,11.09,52.19,90.98,16.53,0.42,0.0,24.35,71.39,0,TRAIN,0.0
11,0.15,0.87,0.25,0.21,1.08,4.2,604.1,76.74,87.42,275.87,0.66,3.86,5.83,13.99,82.86,24.19,1.79,0.0,22.96,-574.44,0.13,0.91,0.21,0.36,2.93,8.02,560.45,125.71,48.87,252.34,0.76,5.12,6.73,12.04,85.14,17.03,2.83,0.0,18.28,-1024.48,0.07,0.52,0.14,0.38,2.24,5.08,694.79,196.64,105.66,304.55,0.79,5.64,7.11,10.1,85.93,8.49,3.6,0.0,19.14,-152.82,0,TRAIN,0.0
12,5.83,7.18,26.15,5.41,6.57,8.08,1631.78,92.6,79.97,122.52,0.16,0.19,1.23,39.67,18.75,160.65,2.04,0.0,151.69,5580.42,3.21,3.78,11.5,1.51,1.79,2.27,1308.88,44.78,160.13,78.27,0.15,0.18,1.18,49.06,15.12,45.77,1.55,0.0,164.44,4825.21,1.61,1.97,6.82,1.53,1.91,2.46,1542.38,66.08,174.91,98.17,0.18,0.23,1.23,48.16,18.43,21.46,1.55,0.0,197.24,5078.13,0,TRAIN,0.0
13,2.13,2.86,3.16,0.43,1.13,2.59,541.42,50.57,76.98,113.58,0.2,0.26,1.35,22.33,25.69,63.45,1.59,2.16,30.05,85.55,0.84,1.05,1.39,0.67,1.24,3.22,600.6,33.96,66.81,133.75,0.15,0.18,1.24,21.03,19.54,92.45,1.38,0.0,33.21,82.21,0.32,0.43,0.5,0.21,0.81,2.26,568.86,44.37,79.82,117.54,0.22,0.3,1.36,20.32,26.22,59.05,1.39,0.0,31.25,82.07,0,TRAIN,0.0
14,0.33,3.09,2.18,1.17,7.57,10.61,2405.47,977.72,97.93,470.18,0.89,8.37,9.37,46.8,89.33,21.31,0.35,2.3,307.12,-504.15,0.02,0.19,0.09,0.45,2.68,3.99,1969.46,685.56,308.57,410.62,0.91,10.12,11.13,44.35,91.01,12.86,0.26,0.0,239.2,-752.16,-0.15,-1.79,-1.05,0.32,2.19,3.24,2501.71,855.09,302.57,477.84,0.91,10.76,11.76,35.25,91.47,10.03,0.22,6.18,176.72,-167.1,0,TRAIN,0.0
15,12.43,15.62,18.36,1.5,3.3,4.77,537.6,127.42,70.57,104.67,0.18,0.23,1.26,25.54,20.41,127.53,2.29,0.0,19.36,42.89,-0.31,-0.37,-0.5,2.11,3.92,6.05,590.29,87.0,48.2,104.36,0.14,0.16,1.18,11.97,15.59,91.13,1.79,0.0,19.86,79.18,13.24,15.89,18.54,0.98,4.04,5.09,509.65,174.91,57.07,60.87,0.16,0.19,1.2,23.97,16.7,160.69,2.06,0.0,15.02,33.78,0,TRAIN,0.0
16,13.26,23.64,6.09,0.02,0.97,1.26,167.35,37.28,46.09,20.34,0.44,0.78,1.78,20.35,43.92,35.52,1.21,14.61,3.26,39.02,6.52,14.87,2.52,0.13,0.55,0.92,141.23,32.19,60.79,28.98,0.56,1.28,2.28,15.31,56.19,16.1,0.89,11.45,3.4,81.28,0.45,1.19,0.48,0.0,0.37,0.92,388.1,84.54,157.15,131.34,0.62,1.63,2.63,8.14,62.03,4.05,0.87,19.73,8.2,-223.98,0,TRAIN,0.0
17,4.9,27.57,5.65,0.22,0.45,0.73,419.76,55.66,249.35,72.6,0.76,4.3,5.63,15.68,82.23,29.26,0.59,13.35,12.43,92.18,5.7,22.88,5.15,0.24,0.64,0.89,329.39,72.25,181.49,45.88,0.71,2.84,4.01,18.23,75.08,36.46,0.69,8.35,11.3,74.36,4.78,15.23,5.84,0.28,0.53,0.84,445.18,58.27,229.86,72.56,0.66,2.1,3.19,23.41,68.62,42.69,0.79,4.09,22.78,182.69,0,TRAIN,0.0
18,0.66,9.7,0.23,0.13,1.08,1.08,126.75,104.75,109.97,0.15,0.93,13.77,14.77,2.72,93.23,2.54,2.39,5.48,0.72,42.33,1.69,37.01,1.98,0.64,1.05,1.05,427.6,151.4,377.5,,0.95,20.87,21.87,1.88,95.43,3.73,1.64,5.91,0.22,4.37,0.76,22.99,0.65,0.57,0.96,0.97,311.9,115.22,297.94,3.49,0.97,29.33,30.33,2.1,96.7,2.93,0.54,0.0,1.15,36.6,0,TRAIN,0.0
19,-0.6,-1.96,-1.67,0.01,0.48,1.24,1018.55,161.12,205.38,270.41,0.51,1.69,3.29,11.41,69.57,24.83,0.86,14.14,33.6,-955.83,-0.61,-2.12,-1.58,0.01,0.17,0.95,942.06,59.13,165.09,306.44,0.55,1.92,3.46,11.03,71.13,15.55,0.69,24.01,30.04,5805.14,-2.86,-10.41,-6.21,0.02,0.23,0.98,789.84,56.96,133.61,251.23,0.57,2.08,3.64,11.63,72.5,9.52,0.68,24.9,31.44,-678.71,0,TRAIN,0.0
20,6.22,35.76,2.99,0.56,1.02,1.09,174.89,59.19,128.43,8.53,0.83,4.75,5.75,19.65,82.61,10.74,0.92,0.0,6.45,49.9,6.65,25.23,3.8,0.55,1.34,1.51,208.67,57.89,73.51,12.47,0.74,2.79,3.79,21.93,73.64,14.14,1.39,22.4,8.74,52.14,5.4,19.2,2.53,0.71,1.34,1.43,170.22,45.84,44.73,6.46,0.72,2.56,3.56,19.14,71.88,11.94,1.45,31.32,6.42,53.59,0,TRAIN,0.0
21,40.56,54.75,54.35,5.8,6.61,9.65,487.79,39.47,48.85,150.83,0.26,0.35,1.35,40.56,25.92,159.04,39.41,0.0,0.0,0.0,20.12,27.46,42.72,2.09,2.27,2.33,775.22,21.36,117.92,6.51,0.27,0.37,1.37,20.12,26.75,92.27,1.32,0.0,0.0,0.0,4.83,91.19,52.79,0.17,0.41,0.54,3975.94,304.51,1260.28,165.33,0.95,17.86,18.87,4.83,94.7,8.9,0.2,7.31,0.0,0.0,0,TRAIN,0.0
22,-9.14,-17.92,-8.62,0.32,1.41,2.32,343.58,58.5,38.82,49.65,0.35,0.69,1.96,9.18,49.01,21.37,1.1,22.38,17.29,92.06,2.69,5.03,1.87,0.13,1.21,1.99,254.45,67.02,40.2,48.6,0.39,0.73,1.87,21.94,46.53,51.44,1.32,21.38,13.42,57.88,-0.33,-0.58,-0.19,0.35,1.47,2.18,211.74,54.66,40.71,35.05,0.36,0.63,1.76,21.13,43.14,15.78,1.4,14.78,12.48,83.17,0,TRAIN,0.0
23,32.66,89.07,12.49,0.17,0.5,0.5,139.24,29.25,87.07,,0.63,1.72,2.73,32.66,63.34,54.24,0.54,0.0,0.0,0.0,1.0,4.23,0.54,0.5,0.79,0.79,196.24,42.95,147.35,,0.76,3.21,4.22,1.0,76.29,12.31,0.6,0.0,0.0,0.0,5.6,20.6,6.76,0.54,0.79,0.79,439.4,76.75,315.64,,0.73,2.67,3.68,5.6,72.82,19.06,0.66,0.0,0.0,0.0,0,TRAIN,0.0
24,-2.95,-4.12,-9.54,5.56,6.69,13.24,1175.52,30.91,37.14,246.8,0.07,0.09,1.39,17.85,28.26,132.37,1.29,0.0,67.2,184.0,-2.24,-3.07,-6.83,5.28,6.49,14.17,1110.52,32.18,34.7,270.27,0.06,0.09,1.37,19.54,26.84,136.94,1.37,0.0,66.27,158.13,-4.26,-5.81,-11.3,4.8,6.67,11.94,965.99,65.42,39.47,210.76,0.07,0.1,1.36,19.88,26.73,70.88,1.49,0.0,64.06,222.18,0,TRAIN,0.0
25,3.43,59.92,1.43,0.12,0.91,0.91,152.11,101.13,128.73,,0.94,16.48,17.48,3.43,94.28,11.02,0.66,0.0,0.0,0.0,-16.09,231.49,-12.51,0.29,0.64,0.64,283.92,96.79,276.95,,1.07,-15.39,-14.39,-16.09,106.95,-1.48,0.03,0.0,0.0,0.0,-1.8,22.46,-1.8,0.48,0.76,0.79,362.83,107.29,382.47,8.57,1.08,-13.45,-12.45,-1.8,108.03,13.83,-0.41,0.0,0.0,0.0,0,TRAIN,0.0
26,15.42,76.06,33.54,0.26,0.29,0.29,791.75,16.43,621.63,0.0,0.79,3.92,4.93,20.17,79.73,26.74,0.26,0.0,10.33,15.63,19.12,48.3,53.8,0.33,0.91,0.91,1027.35,25.18,606.36,0.05,0.6,1.53,2.53,19.96,60.42,41.19,0.87,0.0,2.38,6.14,-5.6,-13.92,-1334.75,0.02,1.12,1.13,86802.13,904.68,51319.74,930.74,0.6,1.49,2.49,-5.6,59.79,-8.74,1.25,0.01,0.0,0.0,0,TRAIN,0.0
27,1.75,2.03,2.39,1.15,2.72,7.93,495.82,36.77,23.43,123.82,0.13,0.14,1.16,23.17,13.48,154.48,1.61,5.81,29.18,93.29,-0.48,-0.56,-0.55,3.13,5.78,11.4,411.57,35.54,13.41,76.45,0.12,0.13,1.16,21.61,13.53,120.75,1.62,6.47,24.91,102.83,0.35,0.41,0.42,2.83,6.13,13.69,434.68,41.27,12.48,94.33,0.12,0.14,1.15,21.42,12.19,106.7,1.58,7.26,17.94,75.68,0,TRAIN,0.0
28,15.54,16.12,20.02,0.87,26.64,26.64,279.66,435.0,16.88,0.0,0.04,0.04,1.04,15.54,3.64,427.11,31.21,0.0,0.0,0.0,12.0,14.22,1.66,6.4,6.4,6.4,50.63,0.0,7.8,0.0,0.16,0.19,1.19,68.31,15.62,1308.06,,0.0,7.81,21.23,-14065.09,120.15,-75.6,0.01,0.01,0.01,1.96,,228.47,,11806.6,-100.85,-0.01,-9246.23,11806.6,-66.05,,0.0,25.9,-161.72,0,TRAIN,0.0
29,-1.3,-2.29,-7.86,0.06,0.35,1.13,2196.21,140.58,214.73,378.34,0.32,0.56,1.76,11.02,43.14,19.51,0.87,14.54,74.37,283.69,0.02,0.03,0.1,0.06,0.34,1.1,2376.81,151.73,418.35,408.33,0.32,0.57,1.77,12.65,45.29,24.41,0.86,5.78,82.3,209.36,-3.06,-5.65,-22.37,0.09,0.34,0.96,2660.7,160.39,433.11,416.96,0.34,0.62,1.85,9.7,45.81,13.4,0.81,9.25,93.28,885.68,0,TRAIN,0.0
30,-15.76,262.97,-91.68,0.03,0.03,0.03,1041.23,1.64,2219.6,,105.99,-1768.48,-16.68,-15.76,105.99,9.4,-0.06,0.0,0.0,0.0,11.81,161.02,,0.5,0.5,0.5,,,,,92.66,1263.11,13.63,11.81,92.66,33.48,0.14,0.0,,0.0,15.07,50.65,430.08,0.2,0.45,0.45,10389.47,1830.0,7218.6,8.52,70.25,236.16,3.36,15.07,70.25,76.17,0.44,0.0,0.0,0.0,0,TRAIN,0.0
31,3.57,3.73,10.37,10.93,30.15,30.19,1056.7,439.27,27.24,0.96,0.04,0.05,1.05,16.38,4.34,150.98,4.54,0.0,37.2,63.33,1.15,2.0,1.72,0.02,1.82,1.88,546.55,342.29,202.25,13.12,0.42,0.74,1.74,11.63,42.49,9.09,2.69,4.16,15.69,76.92,6.17,8.29,,0.14,3.86,3.89,551.43,453.26,136.02,3.91,0.26,0.34,1.34,26.25,25.54,35.5,25.14,0.0,21.74,118.64,0,TRAIN,0.0
32,32.04,279.7,10.7,0.11,1.25,1.25,121.54,53.15,61.37,0.0,0.89,7.73,8.73,32.04,88.54,48.89,0.32,0.0,0.0,0.0,0.73,8.04,0.45,0.06,0.37,0.46,226.53,63.73,203.25,17.13,0.91,10.07,11.07,0.73,90.97,14.28,0.15,0.0,0.0,0.0,0.07,4.09,0.14,0.03,0.43,0.75,690.78,14.64,301.92,181.25,0.98,54.83,55.83,6.4,98.21,1.78,0.56,36.92,12.0,-17.71,0,TRAIN,0.0
33,11.13,70.64,4.44,0.06,0.78,1.08,145.28,81.16,97.84,33.94,0.84,5.34,6.34,42.81,84.24,17.57,1.36,10.43,12.64,64.48,2.45,13.3,1.68,0.02,0.88,1.13,249.89,146.34,148.9,46.44,0.82,4.43,5.43,15.4,81.57,8.17,1.51,13.96,8.86,59.95,2.0,7.22,1.21,0.05,1.02,1.16,220.22,137.59,118.1,21.22,0.72,2.61,3.61,21.53,72.3,10.37,1.49,13.43,11.81,67.77,0,TRAIN,0.0
34,9.38,23.92,26.28,0.13,0.9,1.08,1020.13,473.88,613.44,114.62,0.61,1.55,2.55,9.38,60.8,34.12,1.15,0.0,0.0,0.0,1.23,3.23,3.2,0.65,1.13,1.22,953.78,291.08,604.8,56.91,0.62,1.64,2.64,1.23,62.09,19.12,1.78,0.0,0.0,0.0,-51.1,-1591.05,-507.54,0.11,0.6,0.85,3615.52,1754.4,3573.54,882.69,96.79,3013.73,31.14,-51.1,96.79,-37.03,0.21,0.0,0.0,0.0,0,TRAIN,0.0
35,5.55,7.54,6.36,0.18,0.92,3.31,417.48,49.05,44.69,164.24,0.24,0.32,1.36,28.02,26.4,70.97,1.77,10.6,25.77,65.69,1.07,1.43,1.25,0.43,0.91,2.97,429.11,36.0,52.82,160.36,0.24,0.32,1.34,24.67,25.54,47.32,1.74,9.26,27.75,80.7,2.75,3.71,2.96,0.59,1.7,3.85,392.42,64.26,45.23,126.44,0.23,0.32,1.35,29.64,26.04,56.36,1.94,9.86,29.0,84.44,0,TRAIN,0.0
36,25.53,28.61,14.92,1.99,9.64,9.64,212.76,166.96,21.83,0.0,0.11,0.12,1.12,57.0,10.74,237.78,,0.0,18.39,52.94,5.58,6.04,2.78,2.75,14.26,14.26,181.97,144.83,12.58,,0.08,0.08,1.08,52.57,7.54,73.98,,0.0,23.42,85.46,1.39,1.59,1.55,7.06,8.96,8.96,403.93,84.59,44.57,,0.12,0.14,1.14,99.26,12.04,11.58,,0.0,108.6,175.31,0,TRAIN,0.0
37,3.6,22.48,6.12,0.15,0.48,0.8,619.39,82.54,128.1,80.99,0.84,5.25,6.25,9.53,84.0,39.92,0.89,19.66,10.1,574.13,3.63,18.32,3.93,0.14,0.29,0.93,394.98,28.31,121.1,126.44,0.8,4.04,5.04,8.71,80.18,42.78,0.94,19.05,5.5,3700.34,1.61,10.8,4.08,0.37,0.53,0.94,922.16,62.57,265.04,157.65,0.85,5.7,6.7,5.92,85.07,20.62,0.95,12.93,10.91,-34.64,0,TRAIN,0.0
38,2.62,15.58,1.93,0.11,1.56,1.56,267.4,245.34,169.51,,0.83,4.94,5.94,127.23,83.16,3.15,,0.0,91.54,155.07,11.75,39.73,7.56,0.53,1.29,1.3,234.9,114.63,150.41,1.47,0.7,2.38,3.38,172.63,70.44,16.68,,0.0,103.54,125.29,7.66,15.23,3.34,0.59,2.66,2.68,158.82,121.2,58.5,1.43,0.5,0.99,1.99,198.93,49.72,15.4,,0.0,83.46,95.83,0,TRAIN,0.0
39,29.78,53.21,17.2,0.48,0.95,0.95,192.38,43.0,91.57,0.0,0.44,0.79,1.79,43.97,44.03,72.29,0.96,0.0,8.2,30.59,26.48,55.18,17.3,0.91,1.14,1.14,238.41,27.26,43.86,,0.52,1.08,2.08,45.08,52.01,89.15,1.18,33.28,12.15,23.94,29.77,41.15,25.09,2.16,2.88,2.88,306.88,60.88,21.07,,0.28,0.38,1.38,36.27,27.67,167.2,3.57,20.64,5.48,9.69,0,TRAIN,0.0
40,19.68,48.05,12.98,1.81,2.07,2.08,240.05,12.35,48.29,0.66,0.59,1.44,2.44,27.9,59.04,84.57,1.39,38.66,5.42,12.95,0.25,0.75,0.19,0.08,0.18,0.18,269.7,14.95,144.24,0.31,0.67,1.99,2.99,7.58,66.58,50.92,0.51,12.31,5.41,19.13,1.07,2.83,0.6,0.03,0.14,0.14,206.2,13.45,121.31,0.01,0.62,1.66,2.66,8.72,62.36,81.13,0.44,2.84,4.34,12.94,0,TRAIN,0.0
41,-25.06,-125.6,-11.74,0.0,0.95,1.19,170.55,111.58,104.91,28.8,0.8,4.01,5.01,-19.06,80.05,-18.76,1.78,7.55,2.81,-101.92,40.1,87.46,45.49,0.18,1.77,1.84,413.99,341.71,214.8,16.89,0.54,1.18,2.18,41.86,54.15,79.82,15.93,0.0,2.0,-2214.86,-58.8,-241.55,-40.26,0.75,1.25,1.31,249.21,92.58,185.26,12.06,0.76,3.11,4.11,-54.83,75.66,-72.24,19.85,0.0,2.72,-8.06,0,TRAIN,0.0
42,9.03,27.26,18.26,0.01,0.23,1.07,735.65,56.34,137.74,223.58,0.55,1.66,3.02,19.43,66.86,38.2,0.73,28.11,21.01,53.59,7.04,24.05,13.72,0.14,0.24,0.87,711.8,28.67,146.36,193.13,0.61,2.09,3.42,17.75,70.74,25.8,0.57,28.02,20.9,58.37,6.74,21.34,11.68,0.0,0.41,0.82,630.65,112.45,150.54,113.15,0.6,1.9,3.16,16.57,68.4,22.63,0.61,26.62,17.03,52.86,0,TRAIN,0.0
43,-1.01,-12.77,-0.53,0.4,1.25,1.25,191.87,117.13,138.5,,0.85,10.74,12.69,51.62,92.12,29.28,2.41,0.0,27.74,65.87,4.21,34.34,1.21,0.76,1.23,1.23,104.75,38.39,80.72,,0.8,6.54,8.16,36.88,87.74,12.68,9.62,0.0,9.38,66.0,3.06,19.34,1.54,0.12,1.41,1.41,183.45,160.88,124.15,,0.72,4.55,6.32,37.3,84.17,5.64,14.63,0.0,17.26,71.74,0,TRAIN,0.0
44,-0.3,-11.62,-0.44,0.05,0.21,0.89,533.33,22.56,148.3,102.15,0.97,37.86,38.86,2.33,97.43,13.65,0.91,3.43,3.85,15.52,3.51,57.45,2.46,0.12,0.43,0.83,255.12,24.16,72.14,30.89,0.94,15.35,16.35,9.95,93.88,23.39,0.87,2.21,4.5,21.03,-7.47,358.54,-5.12,0.03,0.59,0.96,249.29,57.86,100.67,38.74,1.02,-48.97,-47.97,-0.12,102.08,14.6,0.86,1.02,5.03,29.54,0,TRAIN,0.0
45,-9.4,-11.66,-53.33,0.37,2.07,3.32,2066.05,589.1,150.75,436.69,0.19,0.24,1.24,10.2,19.44,33.82,1.88,9.55,111.21,-320.53,-11.07,-11.93,-60.56,2.94,4.88,9.42,1996.97,90.36,88.91,409.02,0.07,0.08,1.08,13.26,7.22,116.59,1.65,0.0,133.11,-286.44,-6.08,-6.73,-31.24,1.26,2.0,5.22,1869.7,102.24,123.42,446.94,0.1,0.11,1.11,20.07,9.63,91.53,1.5,0.74,134.32,-1014.9,0,TRAIN,0.0
46,5.07,54.47,1.37,0.13,0.94,0.94,98.46,58.94,72.23,,0.9,9.71,10.74,57.64,90.69,19.34,0.61,0.0,14.22,69.54,4.46,44.43,1.23,0.07,0.9,0.9,100.56,65.74,78.59,0.0,0.9,8.97,9.97,71.33,89.97,17.05,0.65,0.0,18.42,75.92,-20.19,151.35,-5.09,0.08,0.69,0.98,91.71,49.1,80.22,23.32,1.13,-8.5,-7.5,37.41,113.34,-9.74,-0.85,0.0,14.51,112.68,0,TRAIN,0.0
47,4.32,18.16,2.24,0.2,1.29,1.29,189.12,155.14,142.53,0.0,0.76,3.2,4.2,4.32,76.2,20.85,,0.0,0.0,0.0,25.34,30.93,7.17,5.21,5.21,5.21,103.32,0.0,18.43,0.0,0.18,0.22,1.22,25.34,18.08,140.1,,0.0,0.0,0.0,3.32,14.6,1.76,0.54,1.29,1.29,192.92,111.53,147.43,,0.77,3.4,4.4,3.32,77.27,4.3,,0.0,0.0,0.0,0,TRAIN,0.0
48,5.84,20.67,7.49,0.19,0.19,0.54,466.77,0.29,282.14,101.65,0.72,2.54,3.54,5.97,71.74,32.38,0.58,0.0,0.16,-7.56,-1.41,-5.52,-2.0,0.0,0.38,0.8,518.35,139.33,367.32,155.51,0.74,2.91,3.91,-1.41,74.41,26.77,0.66,0.0,0.0,0.0,0.32,1.28,0.35,0.05,0.25,1.04,396.12,55.26,284.1,228.11,0.75,2.99,3.99,0.32,74.94,28.88,1.11,0.0,0.0,0.0,0,TRAIN,0.0
49,1.2,4.86,0.36,0.29,1.33,1.33,109.71,,81.28,,0.75,3.06,4.06,117.71,75.38,1.59,,0.0,35.12,98.28,-69.09,130.29,-12.55,0.2,0.66,0.66,66.32,,99.76,,1.53,-2.89,-1.89,-13.23,153.03,-45.15,,0.0,10.15,-477.5,-3.75,12.43,-1.24,0.02,0.54,0.54,120.09,5.38,154.19,,1.3,-4.32,-3.32,13.74,130.14,-2.38,-0.99,0.0,5.77,166.96,0,TRAIN,0.0
50,1.98,2.95,1.13,0.51,2.72,2.73,208.89,115.89,52.39,0.31,0.33,0.49,1.49,46.62,33.08,34.15,2.48,0.0,25.62,69.09,5.85,10.06,3.92,0.55,2.28,2.28,244.52,138.95,80.27,0.22,0.42,0.72,1.72,55.55,41.86,30.02,2.84,0.0,33.3,75.36,-0.96,-1.3,-0.68,2.23,3.94,4.04,258.58,86.15,50.25,4.78,0.27,0.36,1.36,42.41,26.58,33.3,4.05,0.0,30.81,76.51,0,TRAIN,0.0
